t,gx,gy,gz,ax,ay,az,temp
3,102.00,-28.00,-145.00,964.00,-40.00,18388.00,-4192.00
59,115.00,-37.00,-172.00,924.00,-108.00,18380.00,-4224.00
115,103.00,-21.00,-167.00,1024.00,24.00,18324.00,-4208.00
172,69.00,-15.00,-141.00,932.00,-108.00,18500.00,-4224.00
228,113.00,-17.00,-183.00,1060.00,-92.00,18412.00,-4208.00
284,107.00,32.00,-175.00,904.00,-96.00,18428.00,-4224.00
340,100.00,7.00,-162.00,1012.00,-40.00,18356.00,-4240.00
397,110.00,-13.00,-154.00,948.00,-144.00,18468.00,-4224.00
453,106.00,-12.00,-156.00,900.00,-16.00,18384.00,-4224.00
509,101.00,-3.00,-184.00,932.00,-88.00,18436.00,-4256.00
566,113.00,-22.00,-157.00,956.00,-64.00,18356.00,-4240.00
622,112.00,-25.00,-149.00,992.00,-188.00,18396.00,-4224.00
678,111.00,-34.00,-138.00,956.00,-72.00,18440.00,-4240.00
735,85.00,1.00,-148.00,948.00,-192.00,18472.00,-4224.00
791,106.00,13.00,-176.00,956.00,-96.00,18464.00,-4224.00
847,107.00,-28.00,-163.00,924.00,-40.00,18316.00,-4256.00
904,92.00,4.00,-161.00,916.00,-140.00,18404.00,-4256.00
960,93.00,-7.00,-182.00,884.00,-108.00,18476.00,-4240.00
1015,99.00,25.00,-169.00,916.00,-160.00,18396.00,-4224.00
1073,94.00,-9.00,-180.00,948.00,-216.00,18416.00,-4208.00
1129,90.00,-4.00,-182.00,932.00,-68.00,18428.00,-4224.00
1184,123.00,2.00,-165.00,1004.00,-164.00,18436.00,-4224.00
1242,111.00,6.00,-184.00,956.00,-172.00,18452.00,-4224.00
1298,109.00,10.00,-175.00,932.00,-232.00,18424.00,-4192.00
1354,105.00,11.00,-164.00,884.00,-200.00,18388.00,-4240.00
1411,115.00,-1.00,-188.00,836.00,-124.00,18496.00,-4240.00
1467,104.00,-1.00,-169.00,980.00,-112.00,18440.00,-4256.00
1523,98.00,-10.00,-186.00,828.00,-76.00,18424.00,-4208.00
1580,99.00,5.00,-166.00,936.00,-220.00,18332.00,-4224.00
1636,88.00,-5.00,-167.00,844.00,-52.00,18328.00,-4208.00
1692,100.00,-9.00,-160.00,1000.00,-160.00,18476.00,-4256.00
1748,113.00,-4.00,-160.00,972.00,12.00,18548.00,-4208.00
1805,120.00,-3.00,-173.00,872.00,-36.00,18416.00,-4224.00
