t,gx,gy,gz,ax,ay,az,temp
3,86.00,0.00,-183.00,1832.00,-12008.00,7796.00,-3344.00
59,93.00,13.00,-182.00,1800.00,-12092.00,7636.00,-3344.00
115,111.00,0.00,-202.00,1848.00,-12140.00,7696.00,-3328.00
172,88.00,14.00,-178.00,1832.00,-12064.00,7844.00,-3360.00
228,82.00,0.00,-185.00,1784.00,-12120.00,7888.00,-3312.00
284,83.00,15.00,-167.00,1768.00,-12024.00,7652.00,-3312.00
340,90.00,16.00,-206.00,1844.00,-12032.00,7780.00,-3344.00
397,95.00,9.00,-202.00,1780.00,-12112.00,7728.00,-3328.00
453,91.00,20.00,-183.00,1816.00,-12060.00,7784.00,-3280.00
509,96.00,17.00,-208.00,1840.00,-12096.00,7828.00,-3328.00
566,76.00,28.00,-188.00,1804.00,-12052.00,7812.00,-3344.00
622,81.00,8.00,-191.00,1728.00,-12076.00,7732.00,-3312.00
679,84.00,7.00,-203.00,1820.00,-12068.00,7872.00,-3344.00
736,88.00,12.00,-156.00,1748.00,-12084.00,7808.00,-3344.00
792,87.00,-15.00,-182.00,1908.00,-12076.00,7848.00,-3344.00
848,87.00,1.00,-201.00,1808.00,-12148.00,7800.00,-3312.00
905,83.00,-12.00,-189.00,1884.00,-11940.00,7780.00,-3328.00
961,80.00,11.00,-182.00,1800.00,-12056.00,7852.00,-3328.00
1017,97.00,3.00,-186.00,1828.00,-12084.00,7760.00,-3312.00
1074,94.00,0.00,-182.00,1776.00,-11956.00,7840.00,-3312.00
1130,86.00,16.00,-203.00,1728.00,-12088.00,7732.00,-3344.00
1186,85.00,34.00,-172.00,1884.00,-12040.00,7704.00,-3328.00
1243,90.00,12.00,-187.00,1884.00,-12100.00,7664.00,-3312.00
1300,89.00,-1.00,-185.00,1868.00,-12092.00,7664.00,-3328.00
1356,77.00,0.00,-201.00,1792.00,-12116.00,7904.00,-3328.00
1413,78.00,-4.00,-191.00,1836.00,-12140.00,7812.00,-3360.00
1469,71.00,9.00,-177.00,1880.00,-12040.00,7748.00,-3312.00
1525,81.00,14.00,-194.00,1764.00,-12044.00,7792.00,-3312.00
1582,89.00,4.00,-198.00,1836.00,-12096.00,7852.00,-3328.00
1638,84.00,8.00,-176.00,1908.00,-12020.00,7684.00,-3328.00
1694,116.00,27.00,-177.00,1796.00,-12072.00,7768.00,-3312.00
1751,80.00,20.00,-183.00,1780.00,-12048.00,7732.00,-3312.00
1808,100.00,10.00,-193.00,1792.00,-12032.00,7944.00,-3344.00
1864,92.00,12.00,-178.00,1860.00,-12080.00,7828.00,-3328.00
1921,87.00,0.00,-217.00,1920.00,-12052.00,7884.00,-3328.00
1977,96.00,4.00,-205.00,1888.00,-12132.00,7716.00,-3376.00
2033,84.00,-12.00,-207.00,1880.00,-12044.00,7788.00,-3312.00
