t,gx,gy,gz,ax,ay,az,temp
3,84.00,-7.00,-168.00,1940.00,-12084.00,7764.00,-3200.00
59,78.00,37.00,-181.00,1932.00,-12032.00,7764.00,-3184.00
115,83.00,-9.00,-186.00,1860.00,-12072.00,7852.00,-3216.00
172,84.00,-13.00,-166.00,1856.00,-12044.00,7832.00,-3200.00
228,85.00,-3.00,-164.00,1960.00,-12072.00,7704.00,-3184.00
284,85.00,-12.00,-172.00,1924.00,-12068.00,7748.00,-3184.00
340,87.00,-4.00,-146.00,1924.00,-12080.00,7744.00,-3216.00
397,88.00,0.00,-177.00,1900.00,-12048.00,7728.00,-3200.00
453,97.00,-6.00,-160.00,1984.00,-12064.00,7676.00,-3200.00
509,90.00,17.00,-174.00,1992.00,-12108.00,7836.00,-3184.00
566,81.00,-25.00,-154.00,1960.00,-12076.00,7720.00,-3216.00
622,76.00,7.00,-163.00,1940.00,-12044.00,7760.00,-3168.00
678,85.00,-4.00,-153.00,1988.00,-12148.00,7720.00,-3184.00
736,84.00,10.00,-178.00,1952.00,-12128.00,7768.00,-3216.00
792,77.00,30.00,-179.00,1964.00,-12020.00,7808.00,-3200.00
848,79.00,15.00,-163.00,1908.00,-12108.00,7836.00,-3168.00
905,73.00,-7.00,-159.00,2052.00,-12112.00,7816.00,-3152.00
961,111.00,-12.00,-172.00,2008.00,-12112.00,7800.00,-3184.00
1017,85.00,22.00,-187.00,1900.00,-12104.00,7652.00,-3200.00
1074,79.00,15.00,-161.00,1920.00,-12132.00,7708.00,-3184.00
1130,60.00,-1.00,-166.00,1912.00,-12180.00,7888.00,-3200.00
1186,92.00,-4.00,-170.00,1972.00,-12116.00,7804.00,-3184.00
1243,105.00,0.00,-158.00,2000.00,-12040.00,7640.00,-3200.00
1300,83.00,3.00,-183.00,1912.00,-12180.00,7756.00,-3184.00
1356,80.00,0.00,-169.00,1900.00,-12084.00,7812.00,-3184.00
1413,86.00,-22.00,-206.00,1928.00,-12080.00,7760.00,-3168.00
1469,74.00,-17.00,-173.00,1972.00,-12120.00,7820.00,-3200.00
1525,89.00,9.00,-171.00,1900.00,-12048.00,7780.00,-3184.00
1582,72.00,-10.00,-221.00,1916.00,-12084.00,7760.00,-3200.00
1638,88.00,33.00,-170.00,1820.00,-12080.00,7776.00,-3184.00
1694,78.00,12.00,-180.00,1972.00,-12092.00,7896.00,-3168.00
1752,82.00,-2.00,-180.00,1952.00,-12132.00,7628.00,-3184.00
1808,83.00,14.00,-176.00,1996.00,-12096.00,7956.00,-3200.00
1864,79.00,-11.00,-170.00,1904.00,-12180.00,7744.00,-3200.00
1921,81.00,-26.00,-145.00,1984.00,-12104.00,7720.00,-3152.00
1977,88.00,35.00,-184.00,2032.00,-12144.00,7708.00,-3200.00
2033,77.00,3.00,-170.00,1824.00,-12080.00,7752.00,-3152.00
2089,84.00,26.00,-181.00,1932.00,-12060.00,7800.00,-3168.00
2146,96.00,-11.00,-200.00,1960.00,-12092.00,7756.00,-3184.00
2203,82.00,4.00,-144.00,1912.00,-12112.00,7768.00,-3168.00
2259,100.00,-2.00,-196.00,1944.00,-12064.00,7808.00,-3200.00
2316,85.00,-9.00,-177.00,2000.00,-12060.00,7712.00,-3184.00
2372,69.00,-1.00,-181.00,1904.00,-12084.00,7760.00,-3200.00
2428,86.00,3.00,-160.00,1996.00,-12060.00,7636.00,-3200.00
2485,89.00,19.00,-200.00,1924.00,-12076.00,7888.00,-3216.00
2541,90.00,14.00,-168.00,1916.00,-12084.00,7880.00,-3200.00
2597,-107.00,-869.00,2967.00,3192.00,-12768.00,4964.00,-3152.00
2655,735.00,1721.00,-99.00,1332.00,-11944.00,7916.00,-3184.00
2711,42.00,-33.00,-195.00,1884.00,-12024.00,7628.00,-3184.00
2767,200.00,337.00,-180.00,1428.00,-11924.00,7888.00,-3184.00
2824,-95.00,-463.00,-154.00,1444.00,-11956.00,7840.00,-3200.00
2880,37.00,-164.00,-172.00,1900.00,-12108.00,7680.00,-3216.00
2937,86.00,-41.00,-141.00,1564.00,-12088.00,7912.00,-3184.00
2994,78.00,22.00,-171.00,1792.00,-12088.00,7852.00,-3168.00
3050,93.00,107.00,-153.00,1672.00,-11980.00,7808.00,-3184.00
3106,-93.00,-433.00,-175.00,2044.00,-12448.00,7412.00,-3184.00
3163,-316.00,-619.00,-278.00,1904.00,-12556.00,7756.00,-3200.00
3220,97.00,49.00,-176.00,1588.00,-11996.00,7748.00,-3168.00
3276,107.00,172.00,-1956.00,756.00,-10696.00,7804.00,-3184.00
3333,97.00,914.00,-1656.00,4956.00,-12148.00,7300.00,-3184.00
3389,-196.00,2620.00,529.00,320.00,-11952.00,4968.00,-3184.00
3445,-47.00,12505.00,-1604.00,1016.00,-11900.00,8176.00,-3216.00
3503,-167.00,15646.00,-716.00,-2432.00,-12184.00,6656.00,-3184.00
3559,277.00,16128.00,-2332.00,-1736.00,-12164.00,7956.00,-3152.00
3616,2007.00,20026.00,-5511.00,-7800.00,-12124.00,3760.00,-3200.00
3673,-143.00,12450.00,-454.00,-6408.00,-12160.00,5448.00,-3184.00
3729,-235.00,13370.00,-411.00,-9064.00,-12272.00,3676.00,-3200.00
