t,gx,gy,gz,ax,ay,az,temp
3,213.00,142.00,-449.00,580.00,2440.00,18320.00,-2320.00
19,244.00,157.00,-326.00,772.00,2420.00,18424.00,-2320.00
35,81.00,-93.00,-91.00,708.00,2472.00,18660.00,-2320.00
52,19.00,-67.00,-30.00,740.00,2428.00,18556.00,-2320.00
68,104.00,-66.00,-133.00,756.00,2324.00,18424.00,-2320.00
84,201.00,54.00,-255.00,752.00,2392.00,18576.00,-2368.00
100,247.00,94.00,-209.00,812.00,2296.00,18348.00,-2320.00
116,211.00,93.00,-70.00,832.00,2512.00,18676.00,-2336.00
133,235.00,113.00,131.00,700.00,2528.00,18500.00,-2320.00
150,308.00,149.00,-91.00,460.00,2484.00,18344.00,-2352.00
166,303.00,135.00,-249.00,556.00,2692.00,18448.00,-2336.00
183,275.00,79.00,-165.00,724.00,2772.00,18484.00,-2336.00
199,224.00,-41.00,-121.00,488.00,2548.00,18544.00,-2320.00
216,106.00,-80.00,-14.00,552.00,2628.00,18640.00,-2336.00
232,160.00,-158.00,11.00,572.00,2576.00,18452.00,-2320.00
248,298.00,-49.00,-260.00,644.00,2676.00,18688.00,-2352.00
265,403.00,220.00,-393.00,800.00,2744.00,18568.00,-2336.00
281,267.00,227.00,-313.00,944.00,2892.00,18652.00,-2368.00
297,7.00,168.00,-84.00,732.00,2792.00,18636.00,-2320.00
314,-126.00,-61.00,47.00,652.00,2440.00,18388.00,-2320.00
330,32.00,105.00,-235.00,348.00,2352.00,18364.00,-2352.00
347,208.00,126.00,-432.00,692.00,2408.00,18328.00,-2368.00
363,385.00,190.00,-253.00,676.00,2352.00,18312.00,-2336.00
379,359.00,145.00,-253.00,636.00,2448.00,18368.00,-2320.00
396,259.00,37.00,-188.00,756.00,2716.00,18392.00,-2320.00
412,291.00,-10.00,-93.00,580.00,2676.00,18420.00,-2336.00
429,249.00,-58.00,-146.00,400.00,2468.00,18492.00,-2320.00
445,307.00,-276.00,-125.00,656.00,2456.00,18348.00,-2352.00
461,330.00,-324.00,-110.00,628.00,2496.00,18360.00,-2336.00
478,354.00,-307.00,-291.00,688.00,2648.00,18440.00,-2304.00
494,308.00,-153.00,-172.00,732.00,2756.00,18456.00,-2336.00
510,273.00,-186.00,-40.00,648.00,2552.00,18416.00,-2368.00
527,214.00,-263.00,-109.00,552.00,2928.00,18464.00,-2336.00
543,270.00,-230.00,-51.00,628.00,2684.00,18320.00,-2320.00
560,280.00,-194.00,-122.00,680.00,2680.00,18616.00,-2320.00
577,321.00,-48.00,-86.00,804.00,2924.00,18652.00,-2352.00
592,283.00,-68.00,-114.00,920.00,2872.00,18720.00,-2304.00
610,147.00,-199.00,-123.00,848.00,2764.00,18524.00,-2352.00
626,223.00,-50.00,36.00,520.00,2636.00,18396.00,-2320.00
643,346.00,61.00,-214.00,596.00,2612.00,18304.00,-2336.00
659,384.00,84.00,-362.00,696.00,2780.00,18388.00,-2320.00
675,290.00,-62.00,-344.00,760.00,2972.00,18656.00,-2336.00
692,52.00,-268.00,-23.00,1004.00,2880.00,18632.00,-2320.00
708,-53.00,-126.00,210.00,616.00,2876.00,18536.00,-2352.00
724,-30.00,-37.00,5.00,668.00,2792.00,18528.00,-2368.00
741,58.00,-15.00,-125.00,748.00,2640.00,18340.00,-2320.00
757,93.00,-145.00,-79.00,572.00,2540.00,18084.00,-2368.00
774,133.00,-203.00,97.00,380.00,2600.00,18232.00,-2320.00
790,-63.00,-430.00,87.00,392.00,2668.00,18512.00,-2336.00
806,-207.00,-592.00,312.00,804.00,2848.00,18344.00,-2352.00
823,-169.00,-522.00,41.00,764.00,2800.00,18572.00,-2320.00
839,52.00,-236.00,-397.00,1396.00,2852.00,18536.00,-2336.00
856,189.00,76.00,-333.00,1492.00,2676.00,18620.00,-2336.00
872,198.00,-86.00,-106.00,1012.00,2704.00,18664.00,-2368.00
888,-46.00,-365.00,67.00,772.00,2636.00,18460.00,-2352.00
905,-136.00,-282.00,264.00,512.00,2748.00,18576.00,-2320.00
921,-80.00,-282.00,65.00,980.00,2668.00,18704.00,-2336.00
937,112.00,-156.00,-198.00,1196.00,2812.00,18712.00,-2320.00
954,379.00,48.00,-377.00,1152.00,2948.00,18680.00,-2304.00
970,317.00,81.00,-459.00,1164.00,3100.00,18676.00,-2320.00
987,280.00,173.00,-508.00,792.00,2820.00,18172.00,-2320.00
