t,gx,gy,gz,ax,ay,az,temp
3,98.00,2809.00,-1655.00,1536.00,2420.00,19096.00,-2592.00
19,-404.00,1827.00,-1705.00,800.00,2020.00,18624.00,-2592.00
35,-1042.00,1974.00,-2350.00,288.00,2436.00,18308.00,-2592.00
52,-1210.00,1514.00,-2417.00,240.00,2280.00,18388.00,-2608.00
68,-1912.00,818.00,-2587.00,504.00,2056.00,18780.00,-2576.00
86,-2530.00,-177.00,-2517.00,828.00,2224.00,19316.00,-2576.00
102,-3486.00,-354.00,-2575.00,1540.00,2480.00,19248.00,-2576.00
118,-3087.00,-464.00,-1809.00,1576.00,1740.00,18704.00,-2592.00
135,-2658.00,-1328.00,-1891.00,2452.00,2568.00,18592.00,-2592.00
151,-1316.00,1372.00,-1962.00,128.00,664.00,16904.00,-2576.00
168,-483.00,1692.00,-2750.00,572.00,1464.00,18152.00,-2560.00
185,640.00,1514.00,-3029.00,432.00,1016.00,17812.00,-2592.00
201,1106.00,1372.00,-2655.00,1148.00,1272.00,19004.00,-2576.00
218,363.00,1036.00,-2150.00,644.00,1712.00,19444.00,-2592.00
234,-694.00,1740.00,-1878.00,896.00,1828.00,18848.00,-2560.00
251,-534.00,797.00,-931.00,824.00,2080.00,18820.00,-2576.00
268,-75.00,373.00,-394.00,192.00,2960.00,18812.00,-2576.00
284,-137.00,349.00,598.00,632.00,1156.00,18764.00,-2560.00
301,-655.00,327.00,743.00,300.00,704.00,18476.00,-2592.00
317,-863.00,768.00,466.00,88.00,988.00,18764.00,-2576.00
333,-490.00,359.00,282.00,120.00,956.00,18224.00,-2560.00
350,348.00,-677.00,418.00,-88.00,896.00,17920.00,-2576.00
366,784.00,-281.00,221.00,248.00,1444.00,18636.00,-2560.00
382,530.00,21.00,669.00,312.00,2136.00,19008.00,-2608.00
399,-262.00,-675.00,1906.00,640.00,1952.00,19148.00,-2576.00
415,-1211.00,-1443.00,2710.00,668.00,1620.00,18696.00,-2544.00
432,-1522.00,-1544.00,2761.00,476.00,908.00,18460.00,-2592.00
449,-1581.00,-951.00,2278.00,680.00,868.00,18284.00,-2608.00
465,-1010.00,-561.00,1781.00,452.00,824.00,18064.00,-2576.00
482,-631.00,27.00,1117.00,180.00,1032.00,18104.00,-2576.00
498,-1163.00,-1045.00,839.00,556.00,1748.00,19756.00,-2576.00
515,-994.00,-1681.00,1700.00,1636.00,740.00,18116.00,-2608.00
531,-228.00,-2422.00,2191.00,784.00,1280.00,18692.00,-2592.00
547,-137.00,-1407.00,1271.00,328.00,1008.00,17912.00,-2560.00
565,69.00,-575.00,529.00,232.00,1316.00,18436.00,-2576.00
581,-717.00,-747.00,546.00,1200.00,1172.00,18248.00,-2560.00
598,-840.00,-321.00,630.00,920.00,1616.00,18688.00,-2592.00
614,-1276.00,205.00,435.00,1220.00,1628.00,18716.00,-2592.00
630,-1084.00,230.00,808.00,1376.00,1480.00,18460.00,-2560.00
647,-552.00,-411.00,861.00,1000.00,1188.00,18620.00,-2544.00
663,-274.00,-732.00,383.00,484.00,960.00,18456.00,-2576.00
679,-410.00,145.00,-817.00,244.00,980.00,19100.00,-2576.00
696,-1532.00,1213.00,-1547.00,552.00,1152.00,19428.00,-2592.00
713,-841.00,156.00,-357.00,1456.00,1492.00,18204.00,-2576.00
730,-473.00,-42.00,909.00,1024.00,1136.00,18288.00,-2576.00
746,358.00,-770.00,955.00,308.00,1060.00,18976.00,-2576.00
762,85.00,-1530.00,1033.00,1024.00,560.00,19084.00,-2576.00
779,-850.00,-505.00,735.00,1360.00,288.00,19388.00,-2576.00
795,-1122.00,2.00,570.00,2008.00,616.00,19268.00,-2576.00
812,-724.00,-447.00,1302.00,1756.00,872.00,18972.00,-2592.00
828,-562.00,-1757.00,2058.00,1184.00,504.00,18512.00,-2592.00
845,-553.00,-1654.00,2511.00,1320.00,264.00,18824.00,-2576.00
862,-1110.00,-111.00,2168.00,1680.00,248.00,19860.00,-2560.00
878,-1435.00,761.00,1432.00,1392.00,408.00,18884.00,-2592.00
894,-727.00,1159.00,566.00,1096.00,360.00,18428.00,-2576.00
911,116.00,1606.00,415.00,940.00,152.00,18064.00,-2576.00
927,673.00,2428.00,-130.00,636.00,200.00,18452.00,-2576.00
944,341.00,2279.00,-222.00,1208.00,660.00,19160.00,-2592.00
961,-364.00,2501.00,242.00,1044.00,644.00,18836.00,-2592.00
977,-711.00,1324.00,1203.00,996.00,716.00,18872.00,-2560.00
994,-1055.00,418.00,1654.00,800.00,356.00,18976.00,-2592.00
1010,-902.00,410.00,1204.00,664.00,60.00,18532.00,-2560.00
1027,-551.00,394.00,831.00,320.00,-128.00,18628.00,-2560.00
1043,-289.00,633.00,537.00,636.00,96.00,18688.00,-2560.00
1059,-562.00,1028.00,148.00,444.00,92.00,18992.00,-2576.00
1076,-819.00,988.00,112.00,624.00,216.00,18800.00,-2576.00
1092,-740.00,676.00,256.00,692.00,280.00,19012.00,-2624.00
1108,-460.00,169.00,547.00,556.00,188.00,18756.00,-2592.00
1125,37.00,-365.00,728.00,484.00,-160.00,18608.00,-2592.00
1142,104.00,-387.00,951.00,332.00,-304.00,18852.00,-2544.00
1159,-226.00,28.00,625.00,232.00,-328.00,19012.00,-2576.00
1175,-503.00,-32.00,685.00,732.00,-232.00,18984.00,-2560.00
1191,-752.00,-102.00,832.00,872.00,40.00,18976.00,-2576.00
1208,-641.00,127.00,844.00,788.00,160.00,18996.00,-2576.00
1224,-589.00,-74.00,919.00,880.00,112.00,19060.00,-2592.00
1241,-711.00,-63.00,668.00,568.00,80.00,18968.00,-2576.00
1257,-1010.00,326.00,334.00,660.00,-52.00,18952.00,-2560.00
1273,-1439.00,586.00,396.00,336.00,12.00,18816.00,-2592.00
1290,-1503.00,481.00,926.00,804.00,156.00,18820.00,-2560.00
1306,-1427.00,-557.00,1960.00,988.00,136.00,18948.00,-2560.00
1323,-1248.00,-845.00,2127.00,656.00,-376.00,18648.00,-2592.00
1339,-1134.00,-305.00,1241.00,600.00,-608.00,18872.00,-2544.00
1356,-1029.00,301.00,78.00,476.00,-488.00,18972.00,-2576.00
1373,-600.00,379.00,-378.00,460.00,-276.00,18548.00,-2608.00
1389,-263.00,112.00,22.00,600.00,8.00,18596.00,-2576.00
1405,-79.00,-500.00,732.00,336.00,-144.00,18224.00,-2592.00
1422,112.00,-712.00,1052.00,576.00,-204.00,18528.00,-2576.00
1438,-27.00,-695.00,1336.00,1096.00,-160.00,18956.00,-2576.00
