t,gx,gy,gz,ax,ay,az,temp
3,251.00,-268.00,-305.00,80.00,880.00,18532.00,-2064.00
19,252.00,-166.00,-103.00,292.00,972.00,18800.00,-2064.00
35,210.00,182.00,19.00,80.00,920.00,18500.00,-2048.00
52,386.00,156.00,-43.00,324.00,1020.00,18936.00,-2080.00
67,595.00,172.00,-147.00,320.00,976.00,18680.00,-2064.00
83,692.00,83.00,-226.00,172.00,960.00,18668.00,-2080.00
100,746.00,143.00,-270.00,100.00,880.00,18628.00,-2064.00
116,609.00,307.00,-335.00,160.00,996.00,18740.00,-2048.00
133,359.00,358.00,-533.00,140.00,1096.00,18756.00,-2048.00
149,160.00,348.00,-483.00,204.00,1180.00,18660.00,-2048.00
166,48.00,107.00,-352.00,212.00,1220.00,18736.00,-2080.00
183,-137.00,58.00,-79.00,368.00,1200.00,18748.00,-2064.00
199,-375.00,-57.00,117.00,284.00,1136.00,18840.00,-2080.00
216,-252.00,-165.00,-13.00,112.00,1120.00,18608.00,-2080.00
232,-41.00,-130.00,-215.00,144.00,1080.00,18676.00,-2064.00
248,57.00,-209.00,-278.00,352.00,1136.00,18692.00,-2064.00
265,2.00,106.00,-365.00,40.00,1056.00,18328.00,-2048.00
281,120.00,423.00,-348.00,124.00,1100.00,18468.00,-2064.00
297,211.00,281.00,-337.00,284.00,1260.00,18588.00,-2080.00
314,183.00,107.00,-312.00,64.00,1084.00,18616.00,-2048.00
330,152.00,-96.00,-240.00,256.00,1132.00,18356.00,-2064.00
347,166.00,-52.00,-271.00,244.00,1124.00,18612.00,-2064.00
363,100.00,162.00,-168.00,264.00,1180.00,18544.00,-2048.00
379,-101.00,78.00,-61.00,140.00,1160.00,18576.00,-2080.00
396,-256.00,-56.00,58.00,76.00,1128.00,18376.00,-2064.00
412,-285.00,-268.00,132.00,152.00,920.00,18588.00,-2048.00
429,-370.00,-307.00,189.00,236.00,884.00,18792.00,-2064.00
445,-189.00,-177.00,13.00,160.00,924.00,18508.00,-2064.00
461,76.00,36.00,-273.00,120.00,952.00,18528.00,-2080.00
478,363.00,176.00,-509.00,176.00,1008.00,18732.00,-2048.00
494,488.00,211.00,-510.00,252.00,1208.00,18736.00,-2080.00
510,365.00,43.00,-229.00,408.00,1340.00,18832.00,-2080.00
527,152.00,-135.00,35.00,60.00,1012.00,18732.00,-2096.00
543,-45.00,-72.00,209.00,200.00,988.00,18732.00,-2048.00
560,-148.00,-21.00,94.00,160.00,776.00,18512.00,-2064.00
576,-69.00,40.00,-97.00,268.00,920.00,18440.00,-2048.00
592,47.00,250.00,-262.00,84.00,1020.00,18776.00,-2080.00
609,141.00,303.00,-362.00,68.00,1076.00,18544.00,-2064.00
625,60.00,124.00,-275.00,88.00,1016.00,18604.00,-2080.00
642,-7.00,30.00,-252.00,236.00,1004.00,18512.00,-2064.00
657,-52.00,-75.00,-276.00,212.00,916.00,18736.00,-2080.00
673,8.00,-152.00,-351.00,116.00,916.00,18540.00,-2064.00
690,72.00,-207.00,-610.00,-12.00,796.00,18416.00,-2064.00
706,254.00,-250.00,-1181.00,32.00,704.00,18336.00,-2096.00
722,393.00,133.00,-754.00,396.00,1060.00,18372.00,-2080.00
739,368.00,345.00,-619.00,172.00,1148.00,18648.00,-2080.00
755,331.00,-200.00,-312.00,392.00,1224.00,18816.00,-2080.00
773,259.00,-411.00,-9.00,296.00,1300.00,18728.00,-2048.00
789,-139.00,-645.00,-162.00,332.00,1312.00,19228.00,-2096.00
805,-873.00,-489.00,929.00,448.00,884.00,18768.00,-2064.00
822,-1391.00,-1513.00,1293.00,-28.00,584.00,19104.00,-2064.00
