t,gx,gy,gz,ax,ay,az,temp
3,-548.00,117.00,-21.00,-124.00,268.00,18412.00,-2496.00
19,-217.00,-115.00,-363.00,-156.00,-32.00,18540.00,-2528.00
35,185.00,-516.00,-553.00,-176.00,20.00,18664.00,-2544.00
52,-147.00,-432.00,-556.00,-68.00,84.00,18764.00,-2544.00
67,-591.00,-182.00,-552.00,-176.00,-108.00,18512.00,-2512.00
83,-214.00,-12.00,-189.00,-88.00,-316.00,18760.00,-2512.00
100,149.00,-94.00,-350.00,-272.00,-360.00,18728.00,-2480.00
116,224.00,-253.00,-739.00,-248.00,-20.00,18724.00,-2528.00
133,157.00,-125.00,-371.00,-180.00,324.00,18276.00,-2512.00
149,-226.00,69.00,-22.00,-292.00,40.00,18600.00,-2512.00
165,-106.00,-96.00,37.00,-264.00,-448.00,18680.00,-2512.00
182,155.00,-96.00,-38.00,-236.00,-216.00,18628.00,-2528.00
198,307.00,-223.00,50.00,20.00,-68.00,18860.00,-2512.00
215,-18.00,-75.00,-116.00,76.00,-8.00,18744.00,-2512.00
231,-172.00,-79.00,-453.00,40.00,124.00,18904.00,-2496.00
247,-147.00,95.00,-628.00,20.00,64.00,18696.00,-2512.00
264,-229.00,236.00,-504.00,-108.00,-160.00,18552.00,-2544.00
280,123.00,85.00,-233.00,-336.00,-332.00,18432.00,-2544.00
296,287.00,-47.00,-166.00,-104.00,40.00,18688.00,-2528.00
313,88.00,-36.00,-236.00,-64.00,264.00,18616.00,-2512.00
328,-117.00,62.00,-270.00,-164.00,72.00,18452.00,-2544.00
345,-239.00,61.00,-334.00,-296.00,-248.00,18656.00,-2496.00
361,-204.00,-78.00,-406.00,-260.00,-340.00,18460.00,-2544.00
377,177.00,-69.00,-270.00,-172.00,-224.00,18696.00,-2496.00
394,735.00,-434.00,-129.00,148.00,-72.00,18520.00,-2544.00
410,469.00,-330.00,-207.00,116.00,180.00,18632.00,-2528.00
427,13.00,-70.00,-225.00,112.00,28.00,18912.00,-2496.00
443,7.00,66.00,-358.00,-8.00,-116.00,18788.00,-2496.00
459,191.00,18.00,-306.00,-68.00,-72.00,18624.00,-2544.00
476,264.00,7.00,-73.00,-100.00,-148.00,18500.00,-2528.00
492,71.00,141.00,-124.00,-192.00,-88.00,18512.00,-2528.00
508,73.00,32.00,-256.00,-96.00,-176.00,18800.00,-2560.00
525,524.00,-42.00,8.00,-68.00,36.00,18564.00,-2544.00
540,354.00,126.00,38.00,-228.00,168.00,18464.00,-2528.00
557,205.00,75.00,-295.00,-252.00,-76.00,18780.00,-2512.00
573,320.00,-216.00,-677.00,-156.00,-252.00,18708.00,-2528.00
589,383.00,-453.00,-673.00,-80.00,-180.00,18568.00,-2512.00
606,570.00,-536.00,-173.00,100.00,0.00,18448.00,-2528.00
622,151.00,-289.00,15.00,260.00,220.00,18700.00,-2544.00
