t,gx,gy,gz,ax,ay,az,temp
3,131.00,61.00,-225.00,1320.00,-492.00,18444.00,-1680.00
19,116.00,61.00,-245.00,1272.00,-384.00,18444.00,-1648.00
35,129.00,48.00,-250.00,1312.00,-368.00,18272.00,-1664.00
52,119.00,46.00,-240.00,1272.00,-412.00,18280.00,-1664.00
68,123.00,42.00,-237.00,1288.00,-504.00,18304.00,-1648.00
84,120.00,72.00,-246.00,1264.00,-480.00,18380.00,-1696.00
101,132.00,55.00,-247.00,1240.00,-388.00,18424.00,-1664.00
117,128.00,65.00,-223.00,1148.00,-412.00,18312.00,-1632.00
134,145.00,70.00,-228.00,1236.00,-420.00,18304.00,-1632.00
150,131.00,68.00,-205.00,1180.00,-416.00,18320.00,-1648.00
166,105.00,42.00,-199.00,1284.00,-444.00,18252.00,-1680.00
183,119.00,40.00,-215.00,1248.00,-376.00,18372.00,-1664.00
199,136.00,46.00,-216.00,1344.00,-332.00,18380.00,-1648.00
216,125.00,48.00,-206.00,1328.00,-428.00,18204.00,-1648.00
232,135.00,65.00,-210.00,1304.00,-488.00,18344.00,-1664.00
248,121.00,62.00,-211.00,1260.00,-440.00,18388.00,-1632.00
265,117.00,75.00,-207.00,1296.00,-480.00,18436.00,-1648.00
281,115.00,47.00,-227.00,1188.00,-392.00,18444.00,-1648.00
297,112.00,49.00,-221.00,1292.00,-412.00,18408.00,-1632.00
314,114.00,69.00,-206.00,1304.00,-396.00,18348.00,-1632.00
330,137.00,64.00,-222.00,1316.00,-412.00,18204.00,-1648.00
347,120.00,72.00,-196.00,1332.00,-484.00,18308.00,-1648.00
363,138.00,18.00,-214.00,1172.00,-412.00,18396.00,-1632.00
379,130.00,59.00,-233.00,1252.00,-440.00,18372.00,-1664.00
396,130.00,64.00,-225.00,1220.00,-436.00,18340.00,-1648.00
412,133.00,59.00,-227.00,1328.00,-476.00,18380.00,-1648.00
429,120.00,77.00,-205.00,1268.00,-424.00,18400.00,-1664.00
445,117.00,32.00,-205.00,1320.00,-392.00,18424.00,-1664.00
461,130.00,83.00,-236.00,1300.00,-332.00,18276.00,-1648.00
478,116.00,69.00,-210.00,1332.00,-368.00,18348.00,-1664.00
494,120.00,62.00,-221.00,1244.00,-464.00,18484.00,-1664.00
510,120.00,85.00,-211.00,1376.00,-480.00,18344.00,-1648.00
527,128.00,44.00,-211.00,1236.00,-340.00,18400.00,-1648.00
543,121.00,19.00,-205.00,1164.00,-368.00,18264.00,-1632.00
560,120.00,38.00,-224.00,1292.00,-356.00,18368.00,-1632.00
576,102.00,62.00,-194.00,1300.00,-420.00,18216.00,-1648.00
592,113.00,67.00,-199.00,1224.00,-464.00,18440.00,-1664.00
609,110.00,64.00,-243.00,1232.00,-400.00,18424.00,-1664.00
