t,gx,gy,gz,ax,ay,az,temp
3,-46.00,42.00,-525.00,1776.00,676.00,17796.00,-768.00
19,26.00,226.00,-324.00,1812.00,652.00,17952.00,-784.00
35,111.00,279.00,-148.00,1800.00,504.00,18296.00,-768.00
52,73.00,119.00,-219.00,1920.00,152.00,18396.00,-784.00
67,69.00,53.00,-453.00,1804.00,264.00,18072.00,-768.00
83,96.00,119.00,-502.00,1952.00,344.00,18204.00,-768.00
100,292.00,166.00,-351.00,1956.00,576.00,18168.00,-768.00
116,355.00,217.00,-270.00,1836.00,664.00,18108.00,-768.00
133,122.00,120.00,-410.00,1728.00,536.00,18244.00,-800.00
149,-84.00,23.00,-472.00,1708.00,516.00,18292.00,-736.00
165,64.00,75.00,-187.00,1812.00,304.00,18104.00,-784.00
182,223.00,59.00,-234.00,1836.00,356.00,18156.00,-768.00
198,374.00,178.00,-395.00,1772.00,588.00,18152.00,-768.00
215,170.00,154.00,-525.00,1764.00,512.00,18236.00,-768.00
231,-71.00,-48.00,-370.00,1664.00,420.00,18380.00,-768.00
247,20.00,-40.00,-305.00,1724.00,672.00,17720.00,-784.00
264,133.00,231.00,-384.00,1824.00,728.00,17884.00,-768.00
280,169.00,316.00,-295.00,1744.00,424.00,17992.00,-768.00
296,68.00,206.00,-274.00,1628.00,340.00,18384.00,-768.00
313,152.00,135.00,-332.00,1672.00,356.00,18424.00,-784.00
329,382.00,122.00,-355.00,1860.00,352.00,18112.00,-784.00
346,526.00,306.00,-312.00,2008.00,676.00,18124.00,-784.00
362,380.00,292.00,-155.00,1768.00,612.00,18092.00,-784.00
378,-51.00,16.00,-170.00,1812.00,476.00,18216.00,-752.00
395,-239.00,-131.00,-399.00,1940.00,300.00,18184.00,-768.00
411,-16.00,35.00,-422.00,1932.00,436.00,18036.00,-768.00
428,344.00,255.00,-236.00,1972.00,284.00,18048.00,-768.00
444,280.00,171.00,-346.00,1772.00,516.00,18068.00,-752.00
460,7.00,-19.00,-554.00,1832.00,576.00,18124.00,-752.00
477,-70.00,-38.00,-653.00,1920.00,716.00,17960.00,-768.00
493,46.00,191.00,-459.00,1776.00,568.00,18108.00,-784.00
509,61.00,198.00,-175.00,1736.00,540.00,18192.00,-784.00
526,-179.00,-32.00,-328.00,1836.00,336.00,18068.00,-752.00
542,-545.00,-260.00,-634.00,1724.00,484.00,18096.00,-800.00
559,-781.00,-345.00,-764.00,1600.00,604.00,18096.00,-800.00
575,-12.00,166.00,-290.00,1972.00,548.00,17936.00,-784.00
591,590.00,465.00,176.00,1872.00,396.00,18300.00,-768.00
608,630.00,260.00,-123.00,1860.00,256.00,18488.00,-768.00
624,-188.00,-19.00,-494.00,2116.00,264.00,18404.00,-768.00
641,-350.00,-196.00,-721.00,2084.00,360.00,18048.00,-736.00
657,70.00,181.00,-442.00,1868.00,452.00,17888.00,-736.00
673,586.00,522.00,-55.00,1964.00,452.00,18132.00,-720.00
690,410.00,451.00,-48.00,1656.00,636.00,18252.00,-752.00
706,-199.00,385.00,-246.00,1652.00,576.00,18240.00,-768.00
722,-375.00,53.00,-337.00,1900.00,612.00,18056.00,-768.00
739,-455.00,177.00,-286.00,1836.00,464.00,18092.00,-768.00
755,-367.00,332.00,-191.00,1880.00,484.00,17988.00,-800.00
772,-719.00,112.00,-104.00,1728.00,300.00,18312.00,-768.00
788,-737.00,241.00,-413.00,1376.00,180.00,18220.00,-768.00
804,-473.00,243.00,-484.00,1716.00,336.00,18296.00,-768.00
821,115.00,292.00,-450.00,1772.00,248.00,18180.00,-768.00
838,406.00,264.00,-154.00,1724.00,208.00,18032.00,-768.00
855,324.00,106.00,-25.00,1876.00,96.00,18172.00,-768.00
870,357.00,219.00,-223.00,1800.00,424.00,18328.00,-784.00
886,474.00,388.00,-277.00,1800.00,412.00,18364.00,-784.00
904,440.00,329.00,-181.00,1664.00,348.00,18408.00,-784.00
920,203.00,62.00,-196.00,1588.00,112.00,18560.00,-752.00
935,-4.00,-134.00,-420.00,1772.00,420.00,18428.00,-736.00
952,158.00,-142.00,-477.00,1648.00,532.00,18152.00,-784.00
968,456.00,102.00,-286.00,1768.00,604.00,18044.00,-784.00
985,580.00,253.00,-38.00,1744.00,424.00,17928.00,-784.00
1001,405.00,172.00,22.00,1708.00,192.00,18068.00,-768.00
1017,121.00,28.00,-259.00,1704.00,160.00,18140.00,-736.00
1034,108.00,-65.00,-392.00,1872.00,236.00,17984.00,-736.00
1051,204.00,-2.00,-434.00,1776.00,576.00,18012.00,-768.00
1068,225.00,166.00,-351.00,1900.00,528.00,17780.00,-768.00
1084,49.00,299.00,-378.00,1784.00,596.00,18072.00,-768.00
1100,-14.00,330.00,-276.00,1748.00,500.00,18040.00,-800.00
1117,36.00,242.00,-166.00,1636.00,284.00,18232.00,-736.00
1133,238.00,172.00,-326.00,1496.00,352.00,18328.00,-768.00
1149,255.00,234.00,-292.00,1480.00,332.00,18224.00,-768.00
1166,81.00,219.00,-276.00,1692.00,360.00,18168.00,-768.00
1182,-134.00,84.00,-282.00,1708.00,196.00,18132.00,-768.00
1199,-92.00,40.00,-387.00,1552.00,248.00,18240.00,-768.00
1215,278.00,105.00,-380.00,1532.00,412.00,18300.00,-784.00
1231,704.00,263.00,-197.00,1712.00,620.00,18048.00,-752.00
1248,512.00,281.00,-124.00,1880.00,700.00,17968.00,-768.00
1264,-242.00,83.00,-178.00,2032.00,560.00,17912.00,-800.00
1281,-867.00,-104.00,-349.00,2004.00,-36.00,18004.00,-736.00
1297,-518.00,60.00,-560.00,2036.00,360.00,18120.00,-768.00
1313,318.00,657.00,-431.00,1728.00,516.00,18052.00,-800.00
1330,660.00,851.00,-196.00,1384.00,432.00,18468.00,-736.00
1346,130.00,550.00,-198.00,1352.00,424.00,18440.00,-752.00
1362,-465.00,-11.00,-524.00,1384.00,136.00,18608.00,-768.00
1379,-436.00,-389.00,-755.00,1632.00,136.00,18480.00,-784.00
1395,196.00,-77.00,-646.00,1888.00,364.00,18068.00,-752.00
1413,445.00,232.00,-118.00,1868.00,604.00,18076.00,-752.00
1429,151.00,-113.00,33.00,2024.00,292.00,18152.00,-784.00
1445,-330.00,23.00,-259.00,1928.00,-28.00,18332.00,-752.00
1462,-143.00,-206.00,-554.00,1840.00,-116.00,18020.00,-736.00
1478,337.00,-190.00,-470.00,1760.00,68.00,17960.00,-720.00
1495,345.00,280.00,-332.00,1916.00,128.00,17812.00,-768.00
1511,41.00,149.00,-525.00,1720.00,244.00,18076.00,-752.00
1527,-199.00,26.00,-705.00,1656.00,360.00,18120.00,-768.00
1544,-305.00,-128.00,-762.00,1756.00,120.00,18020.00,-752.00
1560,177.00,247.00,-679.00,1728.00,580.00,17820.00,-768.00
1576,643.00,719.00,-356.00,1708.00,428.00,18068.00,-784.00
1593,441.00,555.00,-171.00,1396.00,208.00,18364.00,-752.00
1609,-223.00,-81.00,-502.00,1312.00,-64.00,18768.00,-736.00
1626,-452.00,-455.00,-982.00,1580.00,264.00,18304.00,-784.00
1642,-192.00,-292.00,-888.00,1616.00,604.00,17968.00,-800.00
1658,423.00,252.00,-209.00,1880.00,672.00,17948.00,-736.00
1675,613.00,610.00,236.00,1708.00,608.00,18084.00,-768.00
1691,264.00,289.00,78.00,1592.00,-56.00,18348.00,-752.00
1708,-445.00,-322.00,-573.00,1520.00,-88.00,18744.00,-736.00
1725,-358.00,-438.00,-993.00,1836.00,284.00,18316.00,-768.00
1741,-94.00,-122.00,-561.00,1756.00,276.00,18024.00,-784.00
1758,215.00,147.00,46.00,1784.00,240.00,18172.00,-784.00
1774,299.00,168.00,41.00,1764.00,480.00,18100.00,-768.00
1790,-58.00,162.00,-371.00,1904.00,472.00,18232.00,-736.00
1807,-582.00,-6.00,-670.00,1744.00,412.00,18072.00,-736.00
1823,-819.00,-129.00,-502.00,1652.00,396.00,18100.00,-800.00
1840,-561.00,75.00,-185.00,1964.00,48.00,18012.00,-768.00
1856,-342.00,561.00,-176.00,1696.00,104.00,18128.00,-752.00
1872,229.00,1242.00,-561.00,1516.00,316.00,18532.00,-768.00
1889,604.00,1085.00,-782.00,1476.00,264.00,18116.00,-768.00
1905,403.00,1254.00,-524.00,1316.00,92.00,18304.00,-784.00
1922,-2.00,485.00,-497.00,1396.00,500.00,18124.00,-752.00
1938,-200.00,953.00,-531.00,896.00,48.00,17968.00,-752.00
1954,-408.00,-56.00,-685.00,1416.00,-120.00,18416.00,-736.00
1971,-329.00,-262.00,-653.00,1348.00,-20.00,18436.00,-768.00
1987,-103.00,-206.00,-320.00,1348.00,100.00,18356.00,-768.00
2003,375.00,133.00,-371.00,1532.00,-52.00,18376.00,-752.00
2020,893.00,310.00,-613.00,1580.00,172.00,18100.00,-752.00
2036,970.00,443.00,-646.00,1768.00,296.00,18180.00,-752.00
2054,693.00,258.00,-472.00,1716.00,172.00,18288.00,-752.00
2070,272.00,233.00,-616.00,1660.00,140.00,18404.00,-768.00
2086,232.00,142.00,-789.00,1504.00,128.00,18348.00,-768.00
2103,416.00,183.00,-1018.00,1484.00,8.00,18144.00,-800.00
2119,109.00,-98.00,101.00,1552.00,188.00,18228.00,-768.00
2136,536.00,432.00,369.00,1588.00,580.00,17824.00,-768.00
2152,873.00,483.00,-237.00,1320.00,496.00,18132.00,-768.00
2168,322.00,177.00,-444.00,1464.00,448.00,18280.00,-768.00
2185,-120.00,-80.00,-722.00,1616.00,280.00,18064.00,-768.00
2201,257.00,108.00,-754.00,1796.00,-12.00,18096.00,-736.00
2217,971.00,367.00,-618.00,1880.00,-120.00,18320.00,-768.00
2234,853.00,66.00,-195.00,1512.00,-4.00,18408.00,-768.00
