t,gx,gy,gz,ax,ay,az,temp
3,90.00,21.00,-180.00,1228.00,-192.00,18580.00,-2816.00
19,80.00,20.00,-209.00,1196.00,-228.00,18648.00,-2848.00
35,82.00,35.00,-154.00,968.00,-196.00,18732.00,-2848.00
51,91.00,5.00,-149.00,1056.00,-204.00,18600.00,-2848.00
67,111.00,1.00,-137.00,1304.00,-124.00,18776.00,-2832.00
83,97.00,4.00,-191.00,1272.00,-188.00,18820.00,-2864.00
100,99.00,-3.00,-180.00,1228.00,-120.00,18720.00,-2864.00
116,99.00,29.00,-180.00,1080.00,-228.00,18736.00,-2864.00
133,86.00,7.00,-177.00,1080.00,-216.00,18796.00,-2832.00
149,102.00,-1.00,-142.00,1220.00,-172.00,18904.00,-2832.00
165,93.00,19.00,-162.00,1244.00,-132.00,18712.00,-2848.00
182,100.00,32.00,-164.00,1228.00,-192.00,18832.00,-2832.00
198,90.00,9.00,-191.00,1112.00,-212.00,18776.00,-2880.00
215,70.00,10.00,-178.00,1136.00,-124.00,18816.00,-2848.00
231,89.00,12.00,-133.00,1096.00,-136.00,18828.00,-2864.00
247,74.00,13.00,-156.00,1204.00,-232.00,18784.00,-2848.00
264,108.00,7.00,-200.00,1260.00,-224.00,18804.00,-2864.00
280,84.00,27.00,-201.00,1168.00,-212.00,18624.00,-2848.00
296,89.00,8.00,-181.00,1092.00,-296.00,18804.00,-2864.00
313,94.00,13.00,-167.00,1168.00,-204.00,18940.00,-2832.00
329,79.00,28.00,-167.00,1228.00,-228.00,18716.00,-2848.00
346,93.00,1.00,-207.00,1256.00,-308.00,18664.00,-2864.00
362,104.00,0.00,-206.00,1132.00,-152.00,18820.00,-2864.00
378,75.00,29.00,-184.00,1156.00,-152.00,18724.00,-2880.00
395,96.00,23.00,-191.00,1024.00,-212.00,18896.00,-2864.00
411,101.00,9.00,-176.00,1080.00,-236.00,18704.00,-2880.00
427,90.00,13.00,-161.00,1192.00,-204.00,18844.00,-2832.00
443,64.00,26.00,-176.00,1140.00,-280.00,18852.00,-2864.00
459,89.00,12.00,-159.00,1068.00,-252.00,18692.00,-2880.00
476,90.00,-3.00,-154.00,1164.00,-192.00,18900.00,-2832.00
492,110.00,11.00,-150.00,1140.00,-228.00,18684.00,-2816.00
508,90.00,7.00,-151.00,1336.00,-164.00,18656.00,-2864.00
525,84.00,19.00,-173.00,1152.00,-252.00,18756.00,-2848.00
541,91.00,20.00,-177.00,1184.00,-200.00,18748.00,-2864.00
558,108.00,45.00,-195.00,1192.00,-220.00,18876.00,-2880.00
574,89.00,14.00,-161.00,1172.00,-164.00,18824.00,-2864.00
590,96.00,30.00,-182.00,1184.00,-172.00,18824.00,-2848.00
607,86.00,5.00,-160.00,1236.00,-232.00,18840.00,-2832.00
623,105.00,-9.00,-215.00,1288.00,-144.00,18696.00,-2864.00
640,87.00,-5.00,-174.00,1164.00,-196.00,18976.00,-2880.00
656,94.00,33.00,-160.00,1188.00,-216.00,18596.00,-2864.00
672,91.00,36.00,-208.00,1220.00,-184.00,18800.00,-2864.00
689,53.00,4.00,-210.00,1112.00,-232.00,18656.00,-2848.00
705,101.00,27.00,-168.00,1052.00,-184.00,18792.00,-2864.00
721,97.00,12.00,-189.00,1028.00,-160.00,18900.00,-2848.00
738,86.00,10.00,-153.00,1084.00,-188.00,18800.00,-2832.00
754,97.00,11.00,-193.00,1164.00,-300.00,18704.00,-2848.00
771,110.00,12.00,-194.00,1152.00,-232.00,18676.00,-2864.00
787,94.00,11.00,-182.00,1152.00,-272.00,18792.00,-2880.00
803,103.00,46.00,-166.00,1164.00,-144.00,18732.00,-2864.00
820,90.00,-29.00,-166.00,1232.00,-244.00,18612.00,-2816.00
836,103.00,0.00,-168.00,1240.00,-252.00,18784.00,-2864.00
852,107.00,38.00,-189.00,1152.00,-180.00,18740.00,-2864.00
869,72.00,19.00,-187.00,1096.00,-188.00,18832.00,-2864.00
885,104.00,8.00,-180.00,1104.00,-140.00,18864.00,-2848.00
902,83.00,-19.00,-173.00,1128.00,-292.00,18764.00,-2816.00
918,92.00,25.00,-183.00,1116.00,-244.00,18808.00,-2832.00
934,82.00,0.00,-180.00,1164.00,-252.00,18716.00,-2848.00
951,96.00,24.00,-173.00,1140.00,-232.00,18872.00,-2832.00
967,98.00,7.00,-187.00,1172.00,-268.00,18764.00,-2832.00
984,96.00,18.00,-182.00,1144.00,-264.00,18752.00,-2848.00
1000,100.00,21.00,-172.00,1160.00,-140.00,18860.00,-2864.00
1016,72.00,24.00,-164.00,1256.00,-212.00,18684.00,-2848.00
1033,107.00,-10.00,-159.00,1192.00,-88.00,18872.00,-2832.00
1049,98.00,-13.00,-178.00,1140.00,-132.00,18764.00,-2864.00
1065,89.00,-5.00,-193.00,1216.00,-132.00,18712.00,-2848.00
1082,92.00,2.00,-163.00,1248.00,-168.00,18884.00,-2864.00
1098,90.00,12.00,-185.00,1332.00,-216.00,18684.00,-2832.00
1115,85.00,18.00,-192.00,1224.00,-304.00,18792.00,-2832.00
1131,85.00,-33.00,-177.00,1156.00,-216.00,18752.00,-2880.00
1147,104.00,25.00,-200.00,1008.00,-268.00,18840.00,-2864.00
1164,77.00,7.00,-192.00,1148.00,-256.00,18760.00,-2832.00
1180,98.00,28.00,-171.00,1196.00,-248.00,18724.00,-2848.00
1197,98.00,32.00,-185.00,1128.00,-200.00,18824.00,-2832.00
1213,99.00,25.00,-174.00,1184.00,-184.00,18540.00,-2848.00
1229,100.00,-11.00,-201.00,1172.00,-136.00,18852.00,-2832.00
1246,92.00,1.00,-178.00,1172.00,-60.00,18784.00,-2832.00
1262,86.00,28.00,-154.00,1124.00,-232.00,18752.00,-2864.00
1278,96.00,12.00,-207.00,1168.00,-108.00,18632.00,-2832.00
1295,102.00,13.00,-174.00,1144.00,-116.00,18848.00,-2848.00
1311,89.00,2.00,-181.00,1172.00,-132.00,18640.00,-2832.00
1328,99.00,15.00,-159.00,1168.00,-108.00,18808.00,-2880.00
1344,97.00,5.00,-172.00,1156.00,-244.00,18708.00,-2864.00
1360,86.00,8.00,-192.00,1116.00,-260.00,18724.00,-2848.00
1377,97.00,-19.00,-171.00,1116.00,-164.00,18672.00,-2864.00
1393,95.00,26.00,-142.00,1216.00,-140.00,18760.00,-2816.00
1410,86.00,26.00,-178.00,1108.00,-168.00,18676.00,-2832.00
1426,85.00,27.00,-191.00,1192.00,-240.00,18640.00,-2864.00
1442,63.00,26.00,-183.00,1160.00,-276.00,18800.00,-2848.00
1459,91.00,6.00,-159.00,1160.00,-64.00,18764.00,-2864.00
1475,88.00,11.00,-158.00,1136.00,-164.00,18548.00,-2848.00
1491,80.00,-2.00,-184.00,1180.00,-260.00,18772.00,-2864.00
1508,98.00,25.00,-169.00,1124.00,-216.00,18748.00,-2816.00
1524,83.00,15.00,-208.00,1068.00,-140.00,18960.00,-2864.00
1541,104.00,-3.00,-185.00,1148.00,-168.00,18648.00,-2848.00
1557,104.00,2.00,-205.00,1256.00,-232.00,18800.00,-2848.00
1573,100.00,11.00,-192.00,1216.00,-292.00,18892.00,-2864.00
1591,87.00,-1.00,-157.00,1196.00,-208.00,18840.00,-2864.00
1607,107.00,12.00,-204.00,1152.00,-128.00,18620.00,-2864.00
1624,73.00,18.00,-173.00,1176.00,-232.00,18664.00,-2864.00
1640,93.00,-9.00,-180.00,1136.00,-160.00,18628.00,-2848.00
1656,118.00,24.00,-174.00,1072.00,-180.00,18656.00,-2864.00
1673,88.00,21.00,-196.00,1152.00,-196.00,18792.00,-2848.00
1689,111.00,3.00,-199.00,1256.00,-200.00,18904.00,-2848.00
1705,78.00,8.00,-180.00,1136.00,-216.00,18856.00,-2832.00
1722,107.00,12.00,-202.00,1152.00,-248.00,18848.00,-2816.00
1738,108.00,4.00,-189.00,1148.00,-176.00,18784.00,-2864.00
1755,104.00,1.00,-186.00,1184.00,-280.00,18616.00,-2848.00
1771,108.00,13.00,-206.00,1280.00,-196.00,18756.00,-2864.00
1787,106.00,41.00,-173.00,1168.00,-204.00,18748.00,-2864.00
1804,98.00,25.00,-225.00,1124.00,-168.00,18936.00,-2832.00
1820,84.00,22.00,-181.00,1196.00,-284.00,18924.00,-2864.00
1837,90.00,-10.00,-186.00,1144.00,-284.00,18788.00,-2864.00
1853,111.00,24.00,-209.00,1184.00,-136.00,18708.00,-2848.00
1869,83.00,29.00,-192.00,1144.00,-184.00,18920.00,-2848.00
1886,86.00,19.00,-177.00,1140.00,-160.00,18788.00,-2832.00
1902,94.00,8.00,-188.00,1200.00,-180.00,18880.00,-2880.00
1918,83.00,5.00,-182.00,1172.00,-152.00,18724.00,-2864.00
1935,91.00,22.00,-169.00,1092.00,-168.00,18760.00,-2848.00
1951,92.00,-27.00,-180.00,1232.00,-196.00,18848.00,-2832.00
1968,69.00,30.00,-186.00,1204.00,-148.00,18704.00,-2848.00
1984,96.00,9.00,-177.00,1152.00,-184.00,18852.00,-2832.00
2000,89.00,44.00,-200.00,1164.00,-252.00,18840.00,-2832.00
2017,78.00,39.00,-172.00,1236.00,-144.00,18852.00,-2848.00
2033,95.00,0.00,-185.00,1172.00,-224.00,18888.00,-2832.00
2050,112.00,-11.00,-195.00,1144.00,-228.00,18740.00,-2848.00
2066,112.00,21.00,-165.00,1232.00,-268.00,18712.00,-2832.00
2082,86.00,6.00,-171.00,1184.00,-200.00,18704.00,-2832.00
2099,106.00,-22.00,-181.00,1184.00,-96.00,18640.00,-2848.00
2115,85.00,39.00,-169.00,1080.00,-192.00,18824.00,-2832.00
2131,91.00,15.00,-169.00,1168.00,-104.00,18984.00,-2880.00
2148,105.00,34.00,-166.00,1124.00,-304.00,18628.00,-2864.00
2164,87.00,7.00,-196.00,1156.00,-168.00,18732.00,-2832.00
2181,110.00,5.00,-182.00,1160.00,-252.00,18736.00,-2848.00
2197,82.00,13.00,-189.00,1212.00,-232.00,18832.00,-2864.00
2213,98.00,-4.00,-182.00,1200.00,-104.00,18984.00,-2816.00
2230,94.00,-3.00,-197.00,1184.00,-212.00,18668.00,-2832.00
2246,87.00,31.00,-202.00,1152.00,-216.00,18884.00,-2880.00
2263,99.00,-16.00,-161.00,1068.00,-136.00,18820.00,-2864.00
2280,104.00,9.00,-167.00,1184.00,-240.00,18780.00,-2864.00
2296,74.00,20.00,-185.00,1028.00,-144.00,18832.00,-2880.00
2313,100.00,11.00,-202.00,1148.00,-248.00,18868.00,-2864.00
2329,86.00,11.00,-172.00,1220.00,-196.00,18888.00,-2848.00
2345,98.00,20.00,-181.00,1164.00,-200.00,18716.00,-2880.00
2362,111.00,20.00,-179.00,1176.00,-204.00,18840.00,-2864.00
2378,86.00,-16.00,-174.00,1200.00,-100.00,18844.00,-2816.00
2395,117.00,-21.00,-173.00,1180.00,-196.00,18684.00,-2864.00
2411,96.00,22.00,-188.00,1112.00,-260.00,18768.00,-2832.00
2427,87.00,25.00,-184.00,1200.00,-272.00,18780.00,-2848.00
2444,113.00,18.00,-192.00,1220.00,-192.00,18800.00,-2864.00
2460,93.00,33.00,-147.00,1220.00,-260.00,18640.00,-2832.00
2477,85.00,31.00,-166.00,1208.00,-184.00,18804.00,-2848.00
2493,91.00,8.00,-174.00,1212.00,-208.00,18692.00,-2864.00
2509,104.00,31.00,-191.00,1112.00,-188.00,18740.00,-2880.00
2526,96.00,18.00,-186.00,1200.00,-120.00,18724.00,-2848.00
2542,92.00,26.00,-171.00,1136.00,-292.00,18812.00,-2864.00
2558,109.00,37.00,-184.00,1112.00,-228.00,18760.00,-2848.00
2575,82.00,23.00,-178.00,1180.00,-176.00,18792.00,-2880.00
2591,85.00,34.00,-186.00,1140.00,-140.00,18732.00,-2864.00
2608,95.00,10.00,-209.00,1132.00,-212.00,18900.00,-2880.00
2624,87.00,-16.00,-184.00,1212.00,-212.00,18792.00,-2864.00
2640,96.00,20.00,-195.00,1148.00,-240.00,18704.00,-2864.00
2657,104.00,-9.00,-171.00,1144.00,-208.00,18824.00,-2848.00
2673,63.00,25.00,-170.00,1172.00,-184.00,18664.00,-2864.00
2690,82.00,-10.00,-175.00,1244.00,-176.00,18736.00,-2832.00
2706,86.00,15.00,-176.00,1064.00,-148.00,18696.00,-2880.00
2722,114.00,-5.00,-171.00,1044.00,-144.00,18868.00,-2832.00
2739,110.00,22.00,-162.00,1120.00,-276.00,18772.00,-2848.00
2756,87.00,4.00,-150.00,1192.00,-156.00,18740.00,-2848.00
2772,110.00,18.00,-172.00,1132.00,-224.00,18724.00,-2864.00
2789,91.00,-15.00,-199.00,1144.00,-188.00,18832.00,-2848.00
2805,122.00,-12.00,-206.00,1304.00,-240.00,18880.00,-2848.00
2822,100.00,-18.00,-163.00,1152.00,-188.00,18880.00,-2864.00
2838,95.00,33.00,-185.00,1148.00,-144.00,18868.00,-2864.00
2854,84.00,-7.00,-199.00,1168.00,-232.00,18660.00,-2848.00
2871,106.00,-11.00,-203.00,1084.00,-204.00,18848.00,-2864.00
2887,79.00,37.00,-209.00,1164.00,-264.00,18672.00,-2848.00
2904,93.00,14.00,-184.00,1164.00,-240.00,18680.00,-2864.00
2920,110.00,26.00,-177.00,1160.00,-244.00,18648.00,-2864.00
2936,71.00,0.00,-182.00,1168.00,-196.00,18828.00,-2880.00
2953,92.00,22.00,-173.00,1200.00,-160.00,18772.00,-2864.00
2969,121.00,18.00,-182.00,1128.00,-216.00,18696.00,-2880.00
2985,94.00,33.00,-176.00,1188.00,-304.00,18656.00,-2848.00
3002,92.00,13.00,-172.00,1116.00,-260.00,18536.00,-2864.00
3018,101.00,3.00,-143.00,1212.00,-184.00,18792.00,-2816.00
3035,66.00,17.00,-176.00,1152.00,-328.00,18716.00,-2864.00
3051,86.00,11.00,-177.00,1084.00,-260.00,18768.00,-2832.00
3067,90.00,24.00,-182.00,1056.00,-232.00,18832.00,-2880.00
3084,81.00,13.00,-206.00,1180.00,-232.00,18800.00,-2832.00
3100,72.00,1.00,-204.00,1088.00,-276.00,18828.00,-2832.00
3117,108.00,50.00,-189.00,1192.00,-176.00,18828.00,-2864.00
3133,86.00,16.00,-205.00,1056.00,-28.00,18848.00,-2832.00
3149,71.00,-4.00,-194.00,1208.00,-232.00,18552.00,-2848.00
3166,83.00,25.00,-143.00,1164.00,-172.00,18800.00,-2832.00
3182,83.00,-4.00,-190.00,1172.00,-136.00,18820.00,-2880.00
3198,82.00,-6.00,-182.00,1156.00,-164.00,18868.00,-2864.00
3215,82.00,34.00,-185.00,1152.00,-132.00,18684.00,-2848.00
3231,106.00,15.00,-159.00,1192.00,-168.00,18744.00,-2848.00
3248,82.00,4.00,-188.00,1216.00,-172.00,18724.00,-2832.00
3264,94.00,23.00,-182.00,1244.00,-200.00,18756.00,-2848.00
3280,114.00,14.00,-186.00,1164.00,-148.00,18668.00,-2864.00
3297,99.00,16.00,-199.00,1220.00,-232.00,18704.00,-2864.00
3313,94.00,41.00,-177.00,1160.00,-160.00,18716.00,-2816.00
3330,100.00,26.00,-178.00,1172.00,-300.00,18716.00,-2848.00
3347,102.00,-13.00,-203.00,1120.00,-216.00,18656.00,-2864.00
3363,94.00,3.00,-197.00,1168.00,-120.00,18696.00,-2832.00
3380,89.00,14.00,-188.00,1200.00,-248.00,18776.00,-2848.00
3396,109.00,1.00,-202.00,1248.00,-312.00,18912.00,-2864.00
3412,107.00,8.00,-170.00,1220.00,-184.00,18840.00,-2848.00
3429,96.00,22.00,-187.00,1136.00,-152.00,18908.00,-2864.00
3445,100.00,-12.00,-187.00,1220.00,-116.00,18748.00,-2864.00
3462,102.00,-8.00,-159.00,1108.00,-200.00,18820.00,-2848.00
3478,83.00,-8.00,-182.00,1300.00,-108.00,18780.00,-2864.00
3494,107.00,31.00,-189.00,1176.00,-156.00,18624.00,-2880.00
3511,101.00,11.00,-173.00,1196.00,-224.00,18864.00,-2848.00
3527,84.00,15.00,-194.00,1196.00,-204.00,18856.00,-2832.00
3544,97.00,5.00,-186.00,1128.00,-232.00,18784.00,-2864.00
3560,99.00,32.00,-180.00,1096.00,-204.00,18692.00,-2832.00
3576,88.00,25.00,-172.00,1300.00,-204.00,18780.00,-2864.00
3593,91.00,12.00,-162.00,1076.00,-204.00,18760.00,-2880.00
3609,92.00,-19.00,-181.00,1220.00,-152.00,18736.00,-2832.00
3625,100.00,1.00,-197.00,1160.00,-220.00,18572.00,-2848.00
3642,122.00,-4.00,-183.00,1176.00,-164.00,18824.00,-2864.00
3658,98.00,27.00,-201.00,1164.00,-204.00,18736.00,-2880.00
3675,92.00,27.00,-185.00,1156.00,-188.00,18748.00,-2816.00
3691,89.00,25.00,-201.00,1192.00,-252.00,18900.00,-2864.00
3707,115.00,1.00,-192.00,1092.00,-228.00,18832.00,-2816.00
3724,104.00,15.00,-185.00,1244.00,-228.00,18620.00,-2832.00
3740,89.00,25.00,-180.00,1144.00,-148.00,18832.00,-2864.00
3757,82.00,29.00,-157.00,1152.00,-208.00,18912.00,-2816.00
3773,65.00,20.00,-179.00,1216.00,-116.00,18896.00,-2832.00
3789,98.00,-10.00,-187.00,1132.00,-248.00,18900.00,-2864.00
3806,108.00,21.00,-164.00,1128.00,-300.00,18780.00,-2848.00
3822,99.00,6.00,-143.00,1160.00,-252.00,18756.00,-2848.00
3838,85.00,-2.00,-175.00,1200.00,-144.00,18844.00,-2880.00
3855,77.00,28.00,-163.00,1140.00,-216.00,18792.00,-2864.00
3871,100.00,2.00,-159.00,1084.00,-212.00,18748.00,-2832.00
3888,98.00,11.00,-161.00,1228.00,-260.00,18568.00,-2864.00
3904,102.00,29.00,-174.00,1212.00,-264.00,18704.00,-2864.00
3920,95.00,3.00,-181.00,1172.00,-232.00,18736.00,-2832.00
3937,94.00,22.00,-183.00,1224.00,-204.00,18832.00,-2816.00
3953,71.00,11.00,-199.00,1152.00,-232.00,18816.00,-2896.00
3970,114.00,10.00,-187.00,1188.00,-104.00,18704.00,-2880.00
3987,86.00,24.00,-175.00,1172.00,-184.00,18704.00,-2880.00
4003,100.00,27.00,-158.00,1192.00,-252.00,18864.00,-2864.00
4020,114.00,14.00,-167.00,1180.00,-152.00,18932.00,-2896.00
4036,78.00,-16.00,-177.00,1108.00,-200.00,18764.00,-2848.00
4052,102.00,11.00,-169.00,1216.00,-136.00,18728.00,-2848.00
4069,95.00,-8.00,-180.00,1192.00,-160.00,18748.00,-2896.00
4085,104.00,0.00,-164.00,1224.00,-180.00,18764.00,-2848.00
4102,108.00,29.00,-202.00,1132.00,-236.00,18732.00,-2832.00
4118,111.00,4.00,-205.00,1140.00,-232.00,18604.00,-2832.00
4134,102.00,-3.00,-179.00,1172.00,-256.00,18720.00,-2848.00
4151,92.00,-2.00,-181.00,1128.00,-208.00,18704.00,-2864.00
4167,105.00,31.00,-190.00,1180.00,-216.00,18888.00,-2848.00
4184,104.00,28.00,-180.00,1104.00,-200.00,18900.00,-2848.00
4200,92.00,7.00,-161.00,1124.00,-184.00,18804.00,-2864.00
4216,107.00,9.00,-167.00,1260.00,-320.00,18728.00,-2848.00
4233,101.00,23.00,-135.00,1204.00,-252.00,18796.00,-2816.00
4249,105.00,10.00,-185.00,1184.00,-176.00,18780.00,-2832.00
4265,118.00,29.00,-161.00,1188.00,-192.00,18824.00,-2864.00
4282,102.00,11.00,-177.00,1180.00,-180.00,18612.00,-2880.00
4298,104.00,18.00,-165.00,1144.00,-180.00,18736.00,-2848.00
4315,100.00,7.00,-146.00,1144.00,-276.00,18692.00,-2864.00
4331,96.00,22.00,-153.00,1156.00,-224.00,18700.00,-2864.00
4347,79.00,13.00,-161.00,1204.00,-180.00,18724.00,-2832.00
4364,115.00,14.00,-187.00,1192.00,-304.00,18784.00,-2848.00
4381,93.00,-3.00,-188.00,1176.00,-188.00,18648.00,-2864.00
4397,84.00,29.00,-180.00,1180.00,-196.00,18748.00,-2848.00
4414,89.00,25.00,-175.00,1200.00,-212.00,18896.00,-2848.00
4430,93.00,12.00,-172.00,1268.00,-264.00,18744.00,-2832.00
4447,94.00,48.00,-209.00,1136.00,-236.00,18896.00,-2848.00
4463,101.00,25.00,-188.00,1140.00,-240.00,18812.00,-2864.00
4480,105.00,35.00,-185.00,1144.00,-236.00,18720.00,-2864.00
4496,85.00,17.00,-191.00,1156.00,-92.00,18784.00,-2832.00
4512,105.00,14.00,-207.00,1156.00,-244.00,18936.00,-2864.00
4529,111.00,26.00,-185.00,1148.00,-144.00,18740.00,-2864.00
4545,77.00,-5.00,-165.00,1164.00,-144.00,18856.00,-2864.00
4561,107.00,11.00,-198.00,1204.00,-248.00,18828.00,-2832.00
4578,116.00,2.00,-157.00,1180.00,-212.00,18924.00,-2832.00
4594,100.00,-12.00,-166.00,1248.00,-156.00,18856.00,-2848.00
4611,94.00,20.00,-196.00,1160.00,-168.00,18792.00,-2848.00
4627,55.00,24.00,-174.00,1176.00,-192.00,18844.00,-2864.00
4643,89.00,1.00,-181.00,1136.00,-212.00,18660.00,-2816.00
4660,77.00,15.00,-182.00,1132.00,-180.00,18840.00,-2864.00
4676,109.00,50.00,-177.00,1136.00,-180.00,18940.00,-2816.00
4692,99.00,7.00,-199.00,1200.00,-164.00,18732.00,-2848.00
4709,105.00,1.00,-170.00,1120.00,-216.00,18696.00,-2832.00
4725,95.00,-15.00,-203.00,1188.00,-336.00,18800.00,-2848.00
4742,105.00,9.00,-172.00,1148.00,-188.00,18636.00,-2864.00
4758,87.00,14.00,-189.00,1256.00,-260.00,18780.00,-2832.00
4774,125.00,19.00,-180.00,1196.00,-216.00,18812.00,-2880.00
4791,104.00,7.00,-187.00,1084.00,-192.00,18844.00,-2864.00
4807,67.00,41.00,-183.00,1244.00,-376.00,18772.00,-2864.00
4824,81.00,38.00,-183.00,1164.00,-220.00,18820.00,-2848.00
4840,99.00,38.00,-176.00,1116.00,-168.00,18884.00,-2848.00
4856,77.00,9.00,-174.00,1128.00,-216.00,18736.00,-2864.00
4873,99.00,36.00,-197.00,1120.00,-188.00,18812.00,-2848.00
4889,108.00,16.00,-181.00,1256.00,-240.00,18904.00,-2864.00
4905,100.00,6.00,-172.00,1164.00,-164.00,18824.00,-2864.00
4922,86.00,34.00,-185.00,1096.00,-120.00,18832.00,-2848.00
4938,74.00,13.00,-191.00,1156.00,-108.00,18700.00,-2848.00
4955,89.00,31.00,-164.00,1268.00,-272.00,18856.00,-2832.00
4972,95.00,-14.00,-182.00,1148.00,-244.00,18796.00,-2880.00
4988,95.00,-3.00,-184.00,1204.00,-108.00,18792.00,-2864.00
5005,111.00,19.00,-179.00,1188.00,-120.00,18824.00,-2832.00
5021,82.00,27.00,-180.00,1164.00,-140.00,18804.00,-2880.00
5038,80.00,26.00,-187.00,1252.00,-228.00,18712.00,-2848.00
5054,96.00,0.00,-175.00,1152.00,-108.00,18608.00,-2832.00
5070,83.00,-9.00,-171.00,1160.00,-96.00,18748.00,-2832.00
5087,88.00,4.00,-186.00,1224.00,-200.00,18768.00,-2848.00
5103,71.00,14.00,-184.00,1164.00,-180.00,18716.00,-2864.00
5120,109.00,7.00,-184.00,1184.00,-280.00,18648.00,-2848.00
5136,79.00,9.00,-193.00,1204.00,-260.00,18764.00,-2832.00
5152,124.00,-9.00,-195.00,1112.00,-168.00,18732.00,-2848.00
5169,97.00,-9.00,-201.00,1112.00,-192.00,18696.00,-2832.00
5185,109.00,20.00,-204.00,1160.00,-276.00,18900.00,-2848.00
5201,83.00,-3.00,-181.00,1216.00,-128.00,18904.00,-2848.00
5218,91.00,40.00,-145.00,1112.00,-100.00,18840.00,-2864.00
5234,87.00,12.00,-206.00,1148.00,-180.00,18904.00,-2848.00
5251,106.00,18.00,-181.00,1156.00,-176.00,18944.00,-2832.00
5267,68.00,10.00,-170.00,1032.00,-88.00,19000.00,-2864.00
5283,85.00,14.00,-158.00,1136.00,-232.00,18808.00,-2864.00
5300,89.00,6.00,-184.00,1088.00,-200.00,18856.00,-2864.00
5316,77.00,17.00,-189.00,1236.00,-152.00,18692.00,-2848.00
5332,119.00,7.00,-193.00,1184.00,-180.00,18708.00,-2864.00
5349,110.00,19.00,-157.00,1068.00,-176.00,18760.00,-2848.00
5365,78.00,20.00,-169.00,1116.00,-268.00,18808.00,-2864.00
5382,82.00,19.00,-182.00,1172.00,-152.00,18736.00,-2864.00
5398,97.00,12.00,-158.00,1164.00,-180.00,18892.00,-2848.00
5414,96.00,17.00,-170.00,1216.00,-176.00,18768.00,-2832.00
5431,77.00,6.00,-155.00,1224.00,-204.00,18768.00,-2880.00
5447,92.00,-6.00,-194.00,1084.00,-264.00,18832.00,-2864.00
5464,74.00,38.00,-187.00,1128.00,-156.00,18864.00,-2848.00
5480,91.00,-3.00,-184.00,1196.00,-212.00,18800.00,-2864.00
5496,85.00,12.00,-162.00,1180.00,-168.00,18680.00,-2864.00
5513,103.00,33.00,-169.00,1164.00,-264.00,18740.00,-2832.00
