t,gx,gy,gz,ax,ay,az,temp
3,227.00,-209.00,-214.00,948.00,1044.00,18692.00,-2736.00
19,133.00,-173.00,-82.00,920.00,868.00,18688.00,-2720.00
35,169.00,-105.00,-5.00,1124.00,1044.00,18792.00,-2688.00
52,135.00,-4.00,62.00,968.00,1140.00,18740.00,-2704.00
68,25.00,192.00,132.00,960.00,980.00,18756.00,-2704.00
83,203.00,97.00,58.00,972.00,684.00,18756.00,-2672.00
100,561.00,-37.00,-83.00,908.00,924.00,18760.00,-2672.00
116,483.00,-75.00,-223.00,956.00,1292.00,18652.00,-2720.00
133,217.00,189.00,-158.00,1012.00,1052.00,18396.00,-2704.00
149,252.00,85.00,-229.00,588.00,936.00,18476.00,-2704.00
165,314.00,-31.00,-164.00,812.00,1172.00,18404.00,-2688.00
182,201.00,79.00,28.00,776.00,1292.00,18236.00,-2720.00
198,218.00,-69.00,-95.00,568.00,1312.00,18412.00,-2704.00
215,210.00,-167.00,-122.00,820.00,1344.00,18552.00,-2704.00
231,146.00,-81.00,54.00,836.00,1280.00,18512.00,-2704.00
247,85.00,-135.00,-163.00,908.00,1296.00,18680.00,-2688.00
264,-51.00,-62.00,-389.00,1092.00,1232.00,18680.00,-2688.00
280,-88.00,-29.00,-157.00,928.00,620.00,18556.00,-2704.00
296,136.00,-92.00,-80.00,980.00,880.00,18592.00,-2704.00
313,44.00,-64.00,-327.00,1104.00,1152.00,18820.00,-2720.00
329,-104.00,222.00,-47.00,988.00,1000.00,18508.00,-2688.00
346,29.00,297.00,378.00,436.00,284.00,18536.00,-2672.00
362,489.00,-330.00,-437.00,652.00,992.00,18644.00,-2720.00
378,236.00,-228.00,-603.00,1304.00,1632.00,18800.00,-2704.00
396,-200.00,395.00,38.00,1188.00,1280.00,18472.00,-2720.00
412,-111.00,261.00,392.00,460.00,440.00,18676.00,-2704.00
429,451.00,-407.00,-365.00,456.00,1012.00,18640.00,-2704.00
445,225.00,-264.00,-482.00,1088.00,1564.00,18580.00,-2704.00
461,-36.00,295.00,346.00,1084.00,844.00,18516.00,-2704.00
478,213.00,-50.00,-14.00,848.00,836.00,18692.00,-2688.00
494,334.00,-211.00,-476.00,1004.00,1280.00,18808.00,-2704.00
510,78.00,120.00,-196.00,1108.00,1128.00,18588.00,-2704.00
527,-19.00,366.00,271.00,972.00,912.00,18588.00,-2704.00
543,126.00,192.00,10.00,696.00,912.00,18620.00,-2720.00
560,267.00,-56.00,-325.00,508.00,1100.00,18452.00,-2704.00
576,366.00,-182.00,-538.00,780.00,1136.00,18752.00,-2688.00
592,279.00,-206.00,-587.00,780.00,1092.00,18480.00,-2720.00
609,163.00,-19.00,-240.00,1092.00,1140.00,18524.00,-2672.00
625,13.00,105.00,-121.00,848.00,1188.00,18500.00,-2672.00
642,24.00,47.00,-121.00,756.00,1036.00,18476.00,-2720.00
658,140.00,-12.00,-134.00,740.00,948.00,18508.00,-2672.00
674,249.00,-40.00,-200.00,736.00,1060.00,18536.00,-2720.00
691,267.00,-164.00,-272.00,848.00,1244.00,18760.00,-2688.00
707,110.00,-80.00,-211.00,792.00,1164.00,18644.00,-2704.00
723,47.00,-44.00,-264.00,956.00,1168.00,18636.00,-2704.00
740,20.00,-4.00,-267.00,1080.00,976.00,18624.00,-2688.00
756,104.00,-4.00,-192.00,900.00,844.00,18664.00,-2672.00
773,264.00,-26.00,-151.00,988.00,952.00,18516.00,-2704.00
789,183.00,99.00,-77.00,892.00,1216.00,18592.00,-2688.00
805,150.00,199.00,-100.00,764.00,1120.00,18660.00,-2672.00
822,132.00,33.00,-316.00,648.00,928.00,18700.00,-2704.00
838,166.00,6.00,-136.00,716.00,1032.00,18384.00,-2688.00
855,281.00,-60.00,-125.00,904.00,988.00,18500.00,-2704.00
871,222.00,-10.00,-114.00,976.00,1268.00,18428.00,-2688.00
887,147.00,82.00,-72.00,984.00,1260.00,18696.00,-2736.00
904,119.00,95.00,-77.00,796.00,1196.00,18596.00,-2720.00
920,229.00,-8.00,-286.00,776.00,1308.00,18676.00,-2736.00
936,123.00,17.00,-319.00,936.00,1192.00,18584.00,-2704.00
953,42.00,98.00,-209.00,864.00,976.00,18508.00,-2704.00
