t,gx,gy,gz,ax,ay,az,temp
3,716.00,294.00,-17.00,76.00,-1348.00,18652.00,-2384.00
19,281.00,151.00,87.00,-88.00,-1276.00,18772.00,-2368.00
35,-76.00,-36.00,-40.00,-300.00,-1328.00,18352.00,-2400.00
52,36.00,4.00,-389.00,-272.00,-1292.00,17948.00,-2416.00
67,508.00,116.00,-615.00,68.00,-1384.00,17676.00,-2384.00
83,1165.00,324.00,-572.00,376.00,-1016.00,18140.00,-2400.00
100,1280.00,390.00,-367.00,184.00,-940.00,18948.00,-2368.00
117,955.00,250.00,-521.00,260.00,-880.00,19428.00,-2400.00
134,462.00,85.00,-640.00,412.00,-1016.00,19720.00,-2384.00
150,-141.00,0.00,-438.00,624.00,-1112.00,19452.00,-2384.00
166,-377.00,-44.00,-82.00,480.00,-1128.00,18904.00,-2368.00
183,-460.00,-68.00,107.00,148.00,-1228.00,18524.00,-2384.00
199,-338.00,29.00,41.00,-136.00,-1176.00,17948.00,-2368.00
216,90.00,117.00,-98.00,-284.00,-1080.00,18136.00,-2400.00
232,344.00,98.00,-185.00,-288.00,-1164.00,18344.00,-2384.00
248,239.00,82.00,-284.00,-196.00,-1164.00,18644.00,-2368.00
265,-19.00,-70.00,-451.00,-176.00,-1448.00,18452.00,-2400.00
281,-135.00,-230.00,-388.00,128.00,-1488.00,18132.00,-2384.00
297,28.00,-215.00,-197.00,252.00,-1524.00,17924.00,-2384.00
314,436.00,-102.00,-171.00,136.00,-1320.00,17736.00,-2368.00
330,1013.00,63.00,-178.00,364.00,-1212.00,18056.00,-2432.00
347,1230.00,220.00,-113.00,544.00,-1040.00,18960.00,-2400.00
363,777.00,133.00,18.00,376.00,-1044.00,19344.00,-2368.00
379,285.00,-277.00,86.00,300.00,-964.00,18900.00,-2384.00
396,131.00,-471.00,241.00,284.00,-1008.00,18452.00,-2384.00
412,345.00,-276.00,457.00,-76.00,-1036.00,18024.00,-2416.00
429,773.00,-132.00,241.00,-468.00,-876.00,17908.00,-2368.00
445,1292.00,201.00,-129.00,-204.00,-792.00,18108.00,-2368.00
461,1507.00,306.00,-166.00,228.00,-532.00,18992.00,-2368.00
478,1182.00,397.00,42.00,92.00,-516.00,19424.00,-2400.00
494,592.00,16.00,-22.00,-8.00,-496.00,19672.00,-2368.00
510,-26.00,-226.00,69.00,-208.00,-428.00,18880.00,-2384.00
527,4.00,-371.00,242.00,-468.00,-416.00,18512.00,-2384.00
543,139.00,-251.00,31.00,-944.00,-660.00,18500.00,-2400.00
560,80.00,-29.00,-543.00,-864.00,-756.00,18896.00,-2384.00
576,19.00,-29.00,-1102.00,-160.00,-864.00,18692.00,-2336.00
592,-47.00,92.00,-1012.00,636.00,-780.00,19016.00,-2416.00
609,-176.00,34.00,-605.00,936.00,-704.00,18960.00,-2368.00
625,-351.00,-213.00,-341.00,776.00,-656.00,19060.00,-2400.00
642,-612.00,-312.00,-106.00,520.00,-896.00,18948.00,-2384.00
658,-791.00,-305.00,37.00,192.00,-924.00,18428.00,-2384.00
674,-621.00,-351.00,-4.00,28.00,-1016.00,18212.00,-2400.00
691,-413.00,-133.00,-216.00,-60.00,-992.00,18008.00,-2384.00
707,289.00,186.00,-442.00,116.00,-876.00,18208.00,-2368.00
723,791.00,361.00,-495.00,404.00,-764.00,18940.00,-2400.00
740,711.00,330.00,-479.00,616.00,-516.00,20004.00,-2384.00
756,-47.00,163.00,-321.00,452.00,-636.00,20384.00,-2416.00
773,-1039.00,-111.00,-386.00,296.00,-880.00,20012.00,-2368.00
