t,gx,gy,gz,ax,ay,az,temp
3,90.00,-12.00,-187.00,904.00,-108.00,18772.00,-2832.00
59,59.00,12.00,-197.00,984.00,-260.00,18744.00,-2848.00
115,83.00,4.00,-171.00,944.00,-176.00,18708.00,-2848.00
172,81.00,-13.00,-184.00,908.00,-188.00,18576.00,-2816.00
228,95.00,-18.00,-176.00,1056.00,-220.00,18656.00,-2848.00
284,84.00,6.00,-159.00,892.00,-240.00,18900.00,-2832.00
340,74.00,-29.00,-187.00,988.00,-232.00,18744.00,-2832.00
397,67.00,-14.00,-179.00,936.00,-252.00,18728.00,-2832.00
453,118.00,38.00,-196.00,1012.00,-328.00,18776.00,-2816.00
509,89.00,-12.00,-156.00,884.00,-244.00,18736.00,-2848.00
566,82.00,-20.00,-183.00,1068.00,-76.00,18672.00,-2864.00
622,106.00,-10.00,-183.00,964.00,-176.00,18580.00,-2832.00
678,77.00,2.00,-199.00,856.00,-188.00,18620.00,-2848.00
735,70.00,14.00,-153.00,1072.00,-232.00,18820.00,-2864.00
791,103.00,-3.00,-166.00,1092.00,-324.00,18640.00,-2848.00
847,83.00,4.00,-183.00,952.00,-164.00,18568.00,-2848.00
904,73.00,-15.00,-185.00,1032.00,-204.00,18716.00,-2816.00
960,87.00,-1.00,-211.00,1028.00,-208.00,18876.00,-2864.00
1016,79.00,-8.00,-188.00,948.00,-232.00,18648.00,-2880.00
1073,93.00,-33.00,-175.00,988.00,-212.00,18536.00,-2848.00
1129,92.00,-17.00,-196.00,864.00,-164.00,18904.00,-2864.00
1185,98.00,-8.00,-189.00,1024.00,-200.00,18816.00,-2848.00
1242,82.00,-1.00,-174.00,1000.00,-292.00,18764.00,-2832.00
1298,96.00,-30.00,-167.00,860.00,-224.00,18652.00,-2848.00
1354,80.00,4.00,-179.00,1024.00,-188.00,18756.00,-2832.00
1411,97.00,6.00,-150.00,960.00,-240.00,18816.00,-2816.00
1467,82.00,-24.00,-166.00,972.00,-248.00,18744.00,-2848.00
1523,88.00,3.00,-188.00,1000.00,-212.00,18696.00,-2864.00
1580,100.00,6.00,-171.00,912.00,-168.00,18780.00,-2848.00
1636,71.00,-8.00,-192.00,972.00,-232.00,18964.00,-2864.00
1692,81.00,2.00,-175.00,1040.00,-208.00,18776.00,-2832.00
1748,86.00,-1.00,-161.00,928.00,-256.00,18644.00,-2816.00
1805,60.00,42.00,-158.00,1136.00,-164.00,18608.00,-2816.00
1861,72.00,-44.00,-164.00,1004.00,-176.00,18900.00,-2848.00
