t,gx,gy,gz,ax,ay,az,temp
3,70.00,24.00,-197.00,912.00,-248.00,18252.00,-1152.00
59,32.00,-99.00,-209.00,1400.00,-344.00,18592.00,-1200.00
115,36.00,5.00,-161.00,724.00,-216.00,19064.00,-1200.00
172,120.00,57.00,-221.00,996.00,-604.00,18600.00,-1136.00
228,153.00,56.00,-180.00,920.00,-300.00,17960.00,-1184.00
284,70.00,76.00,-228.00,644.00,80.00,18432.00,-1184.00
340,52.00,18.00,-160.00,1112.00,-452.00,18240.00,-1184.00
397,108.00,18.00,-208.00,716.00,-336.00,18280.00,-1184.00
453,71.00,26.00,-209.00,1048.00,-308.00,18448.00,-1152.00
509,-13.00,-281.00,-139.00,276.00,-320.00,18396.00,-1168.00
566,67.00,95.00,-208.00,684.00,-216.00,18860.00,-1184.00
622,98.00,79.00,-168.00,1204.00,-252.00,18660.00,-1184.00
678,84.00,25.00,-220.00,548.00,-252.00,18424.00,-1184.00
735,131.00,80.00,-172.00,1128.00,-268.00,18424.00,-1184.00
791,85.00,79.00,-186.00,900.00,-252.00,18132.00,-1168.00
847,103.00,27.00,-202.00,1160.00,-280.00,18444.00,-1168.00
904,105.00,63.00,-197.00,912.00,-276.00,18556.00,-1152.00
960,82.00,53.00,-178.00,996.00,-300.00,18204.00,-1152.00
1016,80.00,30.00,-202.00,944.00,-316.00,18384.00,-1184.00
1073,110.00,26.00,-174.00,856.00,-252.00,18496.00,-1200.00
1129,96.00,32.00,-185.00,972.00,-204.00,18288.00,-1184.00
1185,90.00,2.00,-157.00,824.00,-396.00,18508.00,-1184.00
1242,107.00,15.00,-220.00,836.00,-300.00,18328.00,-1184.00
1298,101.00,34.00,-210.00,1044.00,-224.00,18232.00,-1168.00
1354,101.00,11.00,-177.00,944.00,-300.00,18440.00,-1168.00
1412,109.00,2.00,-197.00,892.00,-340.00,18476.00,-1184.00
1468,98.00,8.00,-187.00,904.00,-136.00,18376.00,-1184.00
1524,71.00,12.00,-186.00,1036.00,-344.00,18496.00,-1184.00
1581,82.00,40.00,-198.00,976.00,-292.00,18500.00,-1168.00
1637,84.00,24.00,-190.00,988.00,-276.00,18160.00,-1168.00
1693,80.00,22.00,-184.00,892.00,-204.00,18396.00,-1136.00
1750,79.00,21.00,-192.00,1020.00,-348.00,18356.00,-1184.00
1806,115.00,14.00,-183.00,856.00,-212.00,18236.00,-1200.00
1862,91.00,38.00,-192.00,1052.00,-160.00,18396.00,-1152.00
1918,84.00,40.00,-190.00,940.00,-252.00,18308.00,-1200.00
1975,122.00,12.00,-192.00,964.00,-276.00,18452.00,-1168.00
2031,101.00,36.00,-186.00,1020.00,-144.00,18412.00,-1216.00
2087,97.00,35.00,-192.00,920.00,-304.00,18380.00,-1168.00
2144,100.00,39.00,-200.00,916.00,-308.00,18304.00,-1168.00
2200,80.00,35.00,-186.00,900.00,-216.00,18452.00,-1184.00
2256,95.00,37.00,-186.00,880.00,-188.00,18368.00,-1168.00
2313,95.00,30.00,-180.00,956.00,-256.00,18520.00,-1200.00
2370,94.00,23.00,-194.00,972.00,-232.00,18476.00,-1168.00
2426,90.00,27.00,-186.00,924.00,-324.00,18432.00,-1152.00
2483,109.00,37.00,-212.00,916.00,-276.00,18260.00,-1184.00
2539,96.00,43.00,-227.00,980.00,-316.00,18348.00,-1200.00
2595,102.00,16.00,-185.00,1012.00,-296.00,18304.00,-1168.00
2652,105.00,10.00,-201.00,972.00,-300.00,18408.00,-1200.00
2708,108.00,39.00,-192.00,948.00,-300.00,18316.00,-1168.00
2764,93.00,37.00,-207.00,908.00,-248.00,18448.00,-1152.00
2821,97.00,29.00,-188.00,928.00,-276.00,18252.00,-1168.00
2877,97.00,12.00,-174.00,968.00,-328.00,18408.00,-1168.00
2933,89.00,47.00,-175.00,972.00,-316.00,18588.00,-1184.00
2990,129.00,0.00,-175.00,912.00,-284.00,18124.00,-1152.00
3046,100.00,33.00,-188.00,1028.00,-188.00,18504.00,-1184.00
3102,102.00,47.00,-185.00,1008.00,-280.00,18312.00,-1184.00
3159,102.00,41.00,-174.00,944.00,-248.00,18356.00,-1168.00
3216,88.00,8.00,-186.00,956.00,-204.00,18328.00,-1152.00
3272,85.00,16.00,-182.00,980.00,-276.00,18460.00,-1184.00
3329,97.00,27.00,-175.00,836.00,-304.00,18372.00,-1200.00
3385,98.00,25.00,-174.00,932.00,-212.00,18392.00,-1168.00
3441,104.00,30.00,-213.00,932.00,-292.00,18428.00,-1168.00
3497,78.00,31.00,-207.00,1036.00,-248.00,18448.00,-1200.00
3554,76.00,22.00,-182.00,984.00,-292.00,18332.00,-1184.00
3610,101.00,24.00,-213.00,936.00,-188.00,18468.00,-1152.00
3666,108.00,30.00,-188.00,856.00,-284.00,18384.00,-1168.00
3723,87.00,-84.00,-175.00,1168.00,-220.00,18184.00,-1184.00
3779,108.00,20.00,-182.00,900.00,-344.00,18404.00,-1168.00
3835,121.00,89.00,-198.00,780.00,-192.00,18352.00,-1152.00
3892,99.00,69.00,-197.00,972.00,-292.00,18336.00,-1168.00
3948,94.00,26.00,-195.00,892.00,-176.00,18424.00,-1152.00
4004,94.00,10.00,-178.00,996.00,-240.00,18264.00,-1184.00
4061,105.00,42.00,-168.00,896.00,-332.00,18484.00,-1168.00
4118,105.00,45.00,-197.00,1008.00,-260.00,18424.00,-1120.00
4174,94.00,22.00,-202.00,1012.00,-332.00,18368.00,-1184.00
4231,96.00,31.00,-160.00,912.00,-320.00,18608.00,-1200.00
4287,107.00,17.00,-176.00,912.00,-276.00,18448.00,-1184.00
4343,89.00,23.00,-184.00,1052.00,-180.00,18460.00,-1168.00
4400,92.00,46.00,-211.00,908.00,-196.00,18396.00,-1216.00
4456,92.00,-1.00,-176.00,988.00,-288.00,18392.00,-1168.00
4512,98.00,29.00,-174.00,940.00,-268.00,18480.00,-1168.00
4569,88.00,37.00,-208.00,968.00,-284.00,18300.00,-1152.00
4625,88.00,16.00,-190.00,1016.00,-216.00,18360.00,-1168.00
4681,90.00,35.00,-213.00,908.00,-284.00,18300.00,-1184.00
4738,100.00,12.00,-182.00,964.00,-228.00,18380.00,-1152.00
4794,107.00,33.00,-166.00,988.00,-304.00,18428.00,-1200.00
4850,99.00,42.00,-209.00,852.00,-256.00,18300.00,-1216.00
4907,109.00,24.00,-193.00,864.00,-232.00,18340.00,-1168.00
4964,96.00,2.00,-204.00,904.00,-240.00,18376.00,-1152.00
5020,112.00,30.00,-216.00,1100.00,-276.00,18272.00,-1152.00
5076,102.00,10.00,-212.00,948.00,-224.00,18192.00,-1200.00
5133,107.00,17.00,-214.00,844.00,-236.00,18416.00,-1152.00
5189,99.00,27.00,-196.00,896.00,-256.00,18452.00,-1168.00
5245,92.00,3.00,-167.00,916.00,-248.00,18352.00,-1184.00
5302,112.00,37.00,-206.00,912.00,-256.00,18492.00,-1168.00
5358,111.00,17.00,-213.00,948.00,-248.00,18380.00,-1168.00
5414,109.00,42.00,-181.00,888.00,-188.00,18280.00,-1184.00
5471,92.00,26.00,-194.00,968.00,-348.00,18324.00,-1168.00
5527,91.00,17.00,-193.00,932.00,-320.00,18284.00,-1200.00
5583,111.00,32.00,-190.00,892.00,-336.00,18464.00,-1184.00
