t,gx,gy,gz,ax,ay,az,temp
3,81.00,43.00,-198.00,956.00,-148.00,18688.00,-2368.00
19,107.00,-40.00,-180.00,836.00,-60.00,18560.00,-2336.00
34,80.00,6.00,-163.00,748.00,-160.00,18716.00,-2368.00
51,93.00,2.00,-200.00,768.00,-196.00,18740.00,-2336.00
67,88.00,-2.00,-187.00,724.00,-164.00,18792.00,-2336.00
83,91.00,34.00,-166.00,864.00,-124.00,18672.00,-2368.00
100,64.00,-52.00,-160.00,868.00,-60.00,18592.00,-2368.00
116,71.00,-40.00,-192.00,872.00,-132.00,18776.00,-2336.00
133,74.00,-20.00,-159.00,772.00,-212.00,18784.00,-2352.00
149,102.00,17.00,-187.00,932.00,-152.00,18532.00,-2368.00
165,107.00,6.00,-179.00,872.00,-164.00,18604.00,-2320.00
182,82.00,11.00,-186.00,952.00,-116.00,18484.00,-2320.00
197,93.00,9.00,-196.00,940.00,-108.00,18940.00,-2336.00
214,88.00,8.00,-220.00,848.00,-156.00,18888.00,-2352.00
230,87.00,3.00,-189.00,876.00,-168.00,18624.00,-2320.00
246,71.00,4.00,-156.00,840.00,-100.00,18572.00,-2384.00
263,86.00,0.00,-181.00,836.00,-132.00,18716.00,-2336.00
279,78.00,-26.00,-173.00,776.00,-224.00,18704.00,-2336.00
295,79.00,13.00,-174.00,688.00,-164.00,18716.00,-2336.00
312,66.00,26.00,-165.00,804.00,-88.00,18648.00,-2352.00
328,87.00,21.00,-188.00,792.00,-96.00,18528.00,-2352.00
344,80.00,-11.00,-199.00,804.00,-64.00,18568.00,-2336.00
360,69.00,3.00,-142.00,852.00,-72.00,18816.00,-2336.00
376,90.00,-28.00,-163.00,804.00,-48.00,18884.00,-2368.00
393,97.00,6.00,-193.00,788.00,-152.00,18728.00,-2336.00
409,84.00,35.00,-189.00,940.00,-152.00,18608.00,-2320.00
425,86.00,-29.00,-198.00,784.00,-36.00,18716.00,-2304.00
442,84.00,0.00,-207.00,736.00,-200.00,18720.00,-2336.00
458,85.00,0.00,-182.00,884.00,-148.00,18796.00,-2336.00
475,91.00,11.00,-159.00,812.00,-156.00,18624.00,-2336.00
490,84.00,24.00,-173.00,944.00,-184.00,18420.00,-2352.00
506,89.00,-10.00,-184.00,888.00,-124.00,18740.00,-2368.00
523,84.00,8.00,-169.00,720.00,-164.00,18820.00,-2336.00
539,88.00,1.00,-188.00,848.00,-188.00,18784.00,-2352.00
556,73.00,34.00,-157.00,788.00,-196.00,18612.00,-2320.00
572,73.00,26.00,-190.00,836.00,-164.00,18424.00,-2368.00
588,74.00,4.00,-168.00,860.00,-80.00,18660.00,-2352.00
605,56.00,27.00,-198.00,868.00,-64.00,18996.00,-2368.00
621,81.00,33.00,-187.00,880.00,-76.00,18712.00,-2320.00
637,84.00,-19.00,-192.00,820.00,-168.00,18660.00,-2352.00
654,115.00,1.00,-179.00,876.00,-108.00,18696.00,-2336.00
