t,gx,gy,gz,ax,ay,az,temp
3,92.00,21.00,-181.00,1760.00,-12056.00,7752.00,-3200.00
59,83.00,-19.00,-158.00,1656.00,-11988.00,7564.00,-3232.00
115,84.00,-47.00,-184.00,1708.00,-12016.00,7764.00,-3232.00
172,100.00,9.00,-181.00,1644.00,-11948.00,7784.00,-3216.00
228,91.00,4.00,-179.00,1624.00,-12028.00,7660.00,-3200.00
284,78.00,-3.00,-170.00,1612.00,-12032.00,7804.00,-3200.00
340,107.00,3.00,-179.00,1732.00,-12056.00,7856.00,-3232.00
397,96.00,-45.00,-174.00,1684.00,-12012.00,7780.00,-3216.00
453,83.00,-8.00,-209.00,1756.00,-11972.00,7772.00,-3232.00
509,79.00,-45.00,-178.00,1628.00,-12012.00,7800.00,-3232.00
566,72.00,85.00,-163.00,1616.00,-12020.00,7624.00,-3216.00
623,92.00,22.00,-158.00,1620.00,-12096.00,7736.00,-3232.00
679,85.00,-46.00,-170.00,1692.00,-12012.00,7784.00,-3232.00
736,94.00,-5.00,-185.00,1804.00,-12028.00,7756.00,-3216.00
792,102.00,-35.00,-167.00,1656.00,-11972.00,7828.00,-3216.00
848,72.00,-12.00,-175.00,1692.00,-11988.00,7768.00,-3232.00
905,90.00,-26.00,-175.00,1660.00,-11916.00,7828.00,-3248.00
961,81.00,-11.00,-174.00,1668.00,-12056.00,7804.00,-3232.00
1017,101.00,32.00,-201.00,1684.00,-12008.00,7844.00,-3200.00
1074,99.00,17.00,-173.00,1712.00,-12040.00,7816.00,-3232.00
1131,86.00,-35.00,-151.00,1700.00,-11996.00,7764.00,-3248.00
1187,104.00,6.00,-184.00,1728.00,-11976.00,7796.00,-3216.00
1244,82.00,18.00,-167.00,1652.00,-11940.00,7868.00,-3216.00
1300,98.00,2.00,-173.00,1676.00,-11908.00,7720.00,-3216.00
1356,93.00,-20.00,-183.00,1556.00,-12092.00,7960.00,-3200.00
1413,109.00,-16.00,-172.00,1616.00,-12096.00,7688.00,-3216.00
1469,91.00,9.00,-169.00,1644.00,-12056.00,7636.00,-3248.00
1525,98.00,30.00,-174.00,1744.00,-11976.00,7736.00,-3232.00
1583,80.00,9.00,-167.00,1692.00,-12060.00,7708.00,-3216.00
1639,94.00,-4.00,-171.00,1656.00,-11984.00,7840.00,-3248.00
1695,93.00,63.00,-173.00,1784.00,-12056.00,7792.00,-3232.00
1752,75.00,-93.00,-154.00,1652.00,-11960.00,7760.00,-3216.00
1808,90.00,-100.00,-151.00,1188.00,-11920.00,8332.00,-3216.00
1864,368.00,1218.00,-330.00,5084.00,-13096.00,10468.00,-3200.00
1922,108.00,-25.00,-223.00,3036.00,-12136.00,7148.00,-3184.00
1978,86.00,35.00,-156.00,1636.00,-11996.00,7756.00,-3216.00
2034,77.00,20.00,-147.00,2112.00,-12288.00,7908.00,-3200.00
2091,114.00,26.00,-185.00,1888.00,-11988.00,7716.00,-3248.00
2147,102.00,-20.00,-167.00,1840.00,-12096.00,7856.00,-3216.00
2204,82.00,20.00,-159.00,1908.00,-12092.00,7680.00,-3200.00
2260,96.00,-7.00,-166.00,1644.00,-12012.00,7584.00,-3216.00
2317,104.00,10.00,-157.00,1636.00,-12024.00,7740.00,-3200.00
