t,gx,gy,gz,ax,ay,az,temp
3,402.00,799.00,-5.00,-520.00,136.00,18016.00,-656.00
59,376.00,129.00,292.00,-476.00,304.00,17948.00,-656.00
115,-126.00,-34.00,-290.00,-848.00,264.00,18484.00,-656.00
172,-159.00,-138.00,-233.00,-728.00,296.00,17868.00,-640.00
228,294.00,587.00,29.00,-1068.00,76.00,18192.00,-656.00
284,230.00,-1015.00,-530.00,-844.00,124.00,18200.00,-656.00
340,207.00,-984.00,-277.00,-560.00,184.00,18136.00,-656.00
397,69.00,-365.00,-140.00,-440.00,120.00,18580.00,-656.00
453,-143.00,-996.00,-363.00,-712.00,296.00,18260.00,-672.00
509,-472.00,-1314.00,230.00,-120.00,0.00,18600.00,-656.00
566,434.00,-205.00,44.00,-448.00,280.00,17932.00,-672.00
622,16.00,-387.00,-325.00,-224.00,60.00,18452.00,-672.00
678,343.00,-175.00,-5.00,-68.00,232.00,18388.00,-672.00
735,183.00,468.00,-188.00,-188.00,-128.00,18728.00,-672.00
791,210.00,-289.00,-232.00,-168.00,248.00,18100.00,-656.00
847,4.00,363.00,95.00,-16.00,144.00,18636.00,-656.00
904,248.00,-241.00,-360.00,-128.00,316.00,17900.00,-688.00
960,145.00,166.00,-192.00,-48.00,-24.00,18440.00,-688.00
1016,226.00,91.00,-451.00,-264.00,84.00,18084.00,-656.00
1073,-321.00,-133.00,-227.00,-76.00,160.00,18456.00,-672.00
1129,340.00,-138.00,-378.00,-224.00,112.00,18236.00,-656.00
1185,-152.00,-597.00,-470.00,20.00,244.00,18116.00,-640.00
1242,431.00,281.00,-125.00,-268.00,108.00,18328.00,-656.00
1298,-30.00,-431.00,-379.00,56.00,140.00,18228.00,-656.00
1354,182.00,-69.00,-159.00,116.00,48.00,18764.00,-624.00
1411,417.00,443.00,-257.00,-260.00,212.00,18284.00,-672.00
1467,-16.00,-306.00,-246.00,-60.00,76.00,18356.00,-656.00
1523,55.00,-14.00,-172.00,-224.00,376.00,18132.00,-656.00
1580,36.00,408.00,-198.00,164.00,-84.00,18896.00,-672.00
1636,68.00,148.00,-124.00,-228.00,228.00,18032.00,-688.00
1692,132.00,94.00,-379.00,-4.00,200.00,18744.00,-672.00
1748,78.00,78.00,68.00,-144.00,372.00,18152.00,-640.00
1805,130.00,-119.00,-418.00,8.00,232.00,18452.00,-656.00
1861,241.00,156.00,-115.00,-100.00,12.00,18540.00,-688.00
1917,18.00,16.00,-129.00,-80.00,348.00,17960.00,-688.00
1974,118.00,-8.00,-207.00,-164.00,-44.00,18892.00,-672.00
2030,94.00,-78.00,-221.00,-12.00,320.00,17924.00,-672.00
2086,153.00,210.00,-290.00,92.00,-4.00,18900.00,-656.00
2142,164.00,-242.00,-123.00,-120.00,332.00,18012.00,-656.00
2199,-32.00,-58.00,-216.00,-96.00,172.00,18796.00,-656.00
2255,346.00,117.00,-128.00,-24.00,396.00,17976.00,-656.00
2312,12.00,194.00,-74.00,136.00,148.00,18476.00,-688.00
2368,223.00,-80.00,-286.00,-120.00,312.00,18240.00,-688.00
2424,-12.00,98.00,-163.00,-76.00,272.00,18272.00,-656.00
2481,296.00,-7.00,-272.00,-152.00,184.00,18232.00,-656.00
2537,-129.00,-208.00,-232.00,-8.00,248.00,18212.00,-672.00
2593,156.00,-111.00,-160.00,-152.00,220.00,18280.00,-656.00
2650,-19.00,21.00,-257.00,-80.00,316.00,18056.00,-656.00
2706,237.00,72.00,-138.00,-64.00,192.00,18488.00,-656.00
2762,-4.00,43.00,-163.00,-184.00,360.00,18020.00,-672.00
2818,235.00,-53.00,-94.00,-64.00,152.00,18472.00,-688.00
2874,56.00,-208.00,-178.00,-120.00,420.00,18216.00,-688.00
