"Road 2, Team 3 measurements",,,,
entry,time,speed detected/mph,comment,
R20001,08:30,48,,
R20002,08:31,59,,
R20003,08:32,55,,
R20004,08:33,18,bicycle,
R20005,08:33,62,,
R20006,08:35,48,towing,
R20007,08:35,50,,
R20008,08:37,65,,
R20009,08:38,68,,
R20010,08:41,58,,
R20011,08:42,57,,
R20012,08:44,62,,
R20013,08:44,60,,
R20014,08:45,58,,
R20015,08:46,57,,
R20016,08:48,51,,
R20017,08:49,69,,
R20018,08:49,71,,
R20019,08:50,62,,
R20020,08:51,62,,
R20021,08:52,68,,
R20022,08:55,69,,
R20023,08:56,66,,
R20024,08:56,57,,
R20025,08:58,49,,
R20026,08:59,52,,
R20027,08:59,1000,error,
R20028,09:00,59,,
R20029,09:01,58,,
R20030,09:03,63,,
R20031,09:03,66,,
R20032,09:04,64,,
R20033,09:06,53,,
R20034,09:06,42,,
R20035,09:07,52,,
R20036,09:08,15,bicycle,
R20037,09:09,30,,
R20038,09:10,14,bicycle,
R20039,09:11,14,bicycle,
R20040,09:11,15,bicycle,
R20041,09:11,14,bicycle,
R20042,09:12,30,,
R20043,09:14,34,,
R20044,09:15,45,,
R20045,09:16,48,,
R20046,09:17,58,,
R20047,09:18,62,,
R20048,09:19,62,,
R20049,09:19,68,,
R20050,09:19,69,,
R20051,09:22,66,,
R20052,09:23,57,,
R20053,09:23,49,,
R20054,09:24,58,,
R20055,09:25,59,,
R20056,09:28,60,,
R20057,09:29,60,,
R20058,09:29,59,,
R20059,09:30,61,,
R20060,09:31,60,,
R20061,09:32,58,,
R20062,09:33,59,,
R20063,09:34,58,,
R20064,09:35,58,,
R20065,09:36,57,,
R20066,09:36,60,,
R20067,09:36,63,,
R20068,09:39,63,,
R20069,09:40,58,,
R20070,09:41,59,,
R20071,09:41,45,,
R20072,09:43,48,,
R20073,09:44,58,,
R20074,09:45,62,,
R20075,09:45,62,,
R20076,09:47,63,,
R20077,09:48,65,,
R20078,09:49,55,,
R20079,09:49,54,,
R20080,09:51,63,,
R20081,09:52,74,police,
R20082,09:52,70,police,
R20083,09:53,48,,
R20084,09:54,58,,
R20085,09:55,62,,
R20086,09:56,63,,
R20087,09:57,58,,
R20088,09:58,59,,
R20089,10:00,50,,
R20090,10:01,55,support,
R20091,10:02,35,special transport,
R20092,10:02,35,special transport,
R20093,10:04,40,support,
R20094,10:05,45,,
R20095,10:05,34,,
R20096,10:07,45,,
R20097,10:08,48,,
R20098,10:09,58,,
R20099,10:10,62,,
R20100,10:11,62,,
R20101,10:12,68,,
R20102,10:13,68,,
R20103,10:14,66,,
R20104,10:14,57,,
R20105,10:14,49,,
R20106,10:15,58,,
R20107,10:17,59,,
R20108,10:18,60,,
R20109,10:19,60,,
R20110,10:20,59,,
R20111,10:21,61,,
R20112,10:22,60,,
R20113,10:23,56,,
R20114,10:25,72,,
R20115,10:25,58,,
R20116,10:26,56,towing,
R20117,10:27,58,,
R20118,10:28,62,,
R20119,10:29,59,,
,,,,
,,,,
,,,,
,,,,
,,,,
