q.frg.pt,be.pt.m,s4_new
-0.014,8.80,66.9
-0.061,12.90,39.4
-0.065,17.10,39.0
-0.063,16.60,39.2
-0.056,14.40,28.4
-0.062,16.70,40.2
-0.044,9.80,7.4
-0.055,13.32,28.6
0.005,16.90,32.6
0.008,6.33,31.0
0.008,16.80,32.7
-0.023,16.20,31.7
-0.009,18.30,33.6
0.026,17.00,33.7
0.046,17.10,34.2
0.106,11.90,35.7
-0.054,20.94,40.2
-0.030,21.60,45.9
0.055,15.30,45.9
0.059,19.81,48.9
0.026,22.50,62.0
0.263,22.00,48.3
0.137,22.80,52.2
-0.099,22.60,35.2
-0.037,22.47,34.4
0.094,19.39,47.9
-0.070,17.60,36.4
-0.041,13.10,31.4
-0.005,13.10,35.7
-0.066,16.50,27.3
-0.045,11.70,38.0
0.076,18.80,34.8
-0.005,13.40,51.3
-0.037,19.80,26.2
-0.001,18.31,58.3
0.006,23.90,60.4
0.096,14.44,65.2
0.194,21.89,59.6
-0.029,18.37,47.1
-0.001,22.12,55.7
0.062,14.31,48.6
0.171,20.17,52.3
-0.001,18.08,46.5
0.065,20.03,50.8
-0.019,16.02,34.6
-0.040,16.53,36.1
-0.024,16.11,34.3
-0.046,15.76,36.4
-0.006,13.28,38.1
0.042,17.44,37.9
0.077,17.42,41.7
-0.021,14.85,33.2
-0.056,13.67,21.1
-0.061,15.68,31.6
-0.058,13.38,20.3
0.007,14.41,28.0
0.014,10.90,34.0
-0.013,10.86,33.5
-0.003,13.56,34.7
-0.018,8.22,35.7
-0.004,16.07,32.9
-0.056,12.02,45.2
-0.069,16.79,38.4
-0.064,16.40,41.2
-0.068,16.26,38.8
-0.054,15.55,39.3
-0.047,12.44,36.7
-0.046,12.74,37.1
0.154,20.39,39.9
0.035,16.55,38.4
0.269,16.58,28.7
0.084,13.95,26.9
-0.018,20.62,47.9
-0.023,18.95,47.4
0.085,16.37,63.1
0.076,17.21,53.5
0.082,17.11,53.6
0.127,20.29,55.3
0.170,19.05,56.9
-0.001,14.52,34.7
-0.021,16.39,36.1
-0.015,15.87,46.0
-0.052,9.09,34.4
0.015,20.15,44.8
0.051,16.22,36.2
0.025,19.74,56.3
0.061,21.53,52.4
0.080,18.02,44.0
0.114,18.74,41.7
-0.001,19.82,49.3
-0.043,16.33,42.8
-0.007,19.34,35.3
-0.058,18.89,41.1
-0.001,18.31,50.3
