mol,No,name,ASA,a_ICM,balabanJ,b_count,chi1,dens,E_sol,E_str,glob,h_logS,radius,rgyr,SlogP,Weight,weinerPath,weinerPol,zagreb
O=C(Nn1c(C)ccc1C)C(=O)Nn1c(C)ccc1C,1,ACIEL1,536.65656,1.6068323,1.8450241,39,9.3967543,1.0034714,-21.338341,15.240414,0.040191978,-3.6622081,5,3.6085818,1.36368,274.32401,854,28,102
O=C(Nn1c(C)ccc1-c1ccccc1)C(=O)Nn1c(C)ccc1-c1ccccc1,2,ACIEL2,634.8587,1.5053129,1.334265,55,14.541714,1.0059097,-19.994364,1.233228,0.076655015,-6.8440037,8,3.955842,4.0808401,398.466,2595,46,158
O=C(Nn1c(C)ccc1C)C(=O)Nc1c(C)cccc1C,3,ACIEL6,551.34406,1.5352904,1.8605177,41,9.8967543,0.98480409,-17.616268,1.0587581,0.060200427,-4.1663308,5,3.8022585,2.4305799,285.34698,975,31,106
O=C(Nn1c(C)ccc1C)C(=O)Nc1c(C)cccc1,4,ACIEL7,533.22058,1.5649908,1.8110564,38,9.4860706,1.0016428,-14.404444,1.039868,0.10134957,-3.9263208,5,3.8310866,2.12216,271.32001,868,28,100
O=C(NCc1ccccc1)C(=O)Nn1c(C)ccc1C,5,ACIEL9,537.38275,1.5649908,1.6998388,38,9.575387,1.0021052,-13.228456,1.0060019,0.064406425,-3.693934,6,4.0747838,1.75784,271.32001,920,26,98
O=C(NCc1occc1)C(=O)Nn1c(C)ccc1C,6,ACIEL10,517.10864,1.6692613,1.7087768,35,9.075387,1.0409602,-12.784046,2.0064662,0.068693362,-3.1572912,5,3.9146245,1.35084,261.28101,790,23,94
O=C(NCc1ccc(OC)cc1)C(=O)Nn1c(C)ccc1C,7,ACIEL11,592.40717,1.5960789,1.6751045,42,10.507239,1.0082676,-13.273628,1.1094497,0.060878266,-3.7535036,7,4.5495129,1.76644,301.34601,1235,30,108
O=C(Nn1c(C)cc2c1cccc2)C(=O)Nn1c(C)cc2c1cccc2,8,ACIEL15,616.85034,1.5617677,1.3376625,47,12.541714,1.0394298,-21.182161,1.3627796,0.037496455,-5.6214509,7,4.3380857,3.0532401,346.38998,1725,42,142
O=C(Nn1c(C)ccc1C)C(=O)Nn1c(C)ccc1C,9,ACIEL16,536.65656,1.6068323,1.8450241,39,9.3967543,1.0034714,-21.338341,15.240414,0.040191978,-3.6622081,5,3.6085818,1.36368,274.32401,854,28,102
FC(F)(F)C(O)(c1[nH]ccc1)c1ccccc1,10,ACSCL1,406.35242,1.7551202,2.226872,28,7.9603434,1.1702219,-9.1488228,2.7442031,0.22160122,-3.1261349,4,2.6973805,3.1243999,241.21199,455,28,90
FC(F)(F)C(O)(c1[nH]ccc1)c1ccc(C(F)(F)F)cc1,11,ACSCL2,455.39096,1.8353968,2.1385717,31,9.5655155,1.3392918,-8.9815969,3.0648799,0.15617965,-3.8511462,5,3.4448223,4.4547,309.20898,871,36,114
FC(F)(F)C(O)(c1c(F)c(F)c(F)c(F)c1F)c1[nH]ccc1,12,ACSCL3,430.84952,1.8426952,2.4660261,28,10.030599,1.5138834,-9.9675932,3.8499341,0.2369698,-4.6195374,4,3.0563316,3.8199,331.16199,872,44,120
FC(F)(F)C(O)(c1[nH]ccc1)c1ccc(OC)cc1,13,ACSCL4,454.37622,1.796772,2.1513665,32,8.8921947,1.1697595,-11.318019,2.8761542,0.12162646,-3.1894011,5,3.1372669,3.1329999,271.23801,651,32,100
FC(F)(F)C(O)(c1c(OC)cccc1)c1[nH]ccc1,14,ACSCL5,440.12378,1.796772,2.3104441,32,8.9090319,1.1748261,-6.3444858,3.5128703,0.17858964,-3.231118,4,2.8399994,3.1329999,271.23801,607,33,100
