No.,s1,s2,type 2,"dEv-a, Au","dEv-a, Ru","BE, Ru, a","BE, Ru, v","Ru-C, a","Ru-C, v","Ru-Cl, a","Ru-Cl, v","Ru-P, a","Ru-P, v","<Cl-Ru-Cl, a","<Cl-Ru-Cl, v","<P-Ru-P, a","<P-Ru-P, v","CC, Rh, a","CC, Rh, v",dEv-a (Rh),"BE, Rh, a","BE, Rh, v","Rh-C, a","Rh-C, v","Rh-P, a","Rh-P, v","Rh-Cl, a","Rh-Cl, v"
1,H,H,1R,14.16,-83.32,171.74,433.58,2.116,1.795,2.379,2.374,2.353,2.357,148.7,148.6,178.1,179,1.275,1.326,-40.41,200.69,419.62,2.108,1.824,2.338,2.342,2.409,2.421
2,H,Me,1R,39.49,-57.82,168.13,427.25,2.13,1.801,2.383,2.376,2.351,2.356,148.5,148.6,178.5,179.4,1.276,1.328,-19.63,190.24,411.17,2.115,1.827,2.336,2.34,2.416,2.424
3,H,CF3,1R,14.87,-83.75,181.61,459.45,2.104,1.785,2.364,2.366,2.361,2.364,143.6,146.2,177.6,178.6,1.28,1.335,-24.5,235.23,453.82,2.088,1.808,2.347,2.35,2.397,2.411
4,H,Et,1R,37.9,-59.76,168.06,428.82,2.13,1.802,2.382,2.374,2.349,2.354,148.1,148.9,178,179.4,1.277,1.328,-19.41,191.45,411.87,2.115,1.828,2.335,2.341,2.415,2.423
5,H,iPr,1R,39.66,-57.85,167.78,430.15,2.134,1.804,2.381,2.377,2.35,2.353,147.9,149,178.6,178.8,1.276,1.328,-18.17,190.14,412.83,2.122,1.831,2.336,2.341,2.417,2.423
6,H,nBu,1R,38.4,-59.3,170.13,429.22,2.13,1.802,2.383,2.374,2.349,2.354,148.6,148.9,178.2,179.5,1.276,1.328,-19.7,192.94,412.42,2.115,1.827,2.335,2.34,2.415,2.423
7,H,tBu,1R,39.43,-60.92,167.85,426.19,2.138,1.803,2.381,2.378,2.351,2.354,144.9,149,178,178.9,1.278,1.328,-22.52,187.31,407.26,2.136,1.831,2.34,2.341,2.419,2.426
8,H,Cy,1R,41.04,-56.44,170.24,426.28,2.133,1.805,2.382,2.377,2.35,2.353,148,149.1,178.2,178.4,1.278,1.328,-17.95,191.44,408.99,2.119,1.83,2.335,2.341,2.416,2.425
9,H,Neopentyl,1R,42.49,-49.32,165.38,412.83,2.133,1.809,2.383,2.375,2.35,2.354,148,149.3,178.2,178.5,1.277,1.328,-10.18,188.63,396.96,2.117,1.831,2.336,2.343,2.417,2.428
10,H,Bn,1R,35.55,-62.96,170.47,428.2,2.129,1.802,2.386,2.374,2.35,2.355,149.3,148.8,176.7,179.3,1.277,1.328,-23,195.1,412.87,2.112,1.826,2.337,2.342,2.415,2.422
